Stratno | Stratigraphic Name | Entity Number | Province Name 
25038|Gunpowder Creek Formation|559201|Mount Oxide Domain
27064|Gwynne Sandstone|364771|Aileron Province
27064|Gwynne Sandstone|467256|Arunta Orogen
27791|HYC Pyritic Shale Member|556523|Mount Isa Orogen
7964|Habgood Group|512264|McArthur Basin
35686|Halfway Dam Formation|22078|Amadeus Basin
27793|Halls Creek Group|20392|Litchfield Block
27793|Halls Creek Group|429252|Lamboo Province
24304|Hanlon Subgroup|468041|Davenport Province
8056|Hanson River beds|22109|Wiso Basin
8064|Harajica Sandstone Member|22078|Amadeus Basin
8085|Hardway Granite|556523|Mount Isa Orogen
24306|Harry Anorthositic Gabbro|364771|Aileron Province
24306|Harry Anorthositic Gabbro|467256|Arunta Orogen
8120|Harts Range Group|467256|Arunta Orogen
8120|Harts Range Group|512258|Irindina Province
36822|Harts Range Metamorphic Complex|467256|Arunta Orogen
36822|Harts Range Metamorphic Complex|512258|Irindina Province
8127|Harts Range pegmatite|467256|Arunta Orogen
24307|Harverson Granite|467256|Arunta Orogen
30858|Harverson Suite|467256|Arunta Orogen
8130|Haslingden Group|556523|Mount Isa Orogen
8139|Hatches Creek Group|468041|Davenport Province
27290|Hayes Metamorphic Complex|467256|Arunta Orogen
8199|Hayward Creek Formation|468265|Warramunga Province
8225|Heavitree Quartzite|22078|Amadeus Basin
8225|Heavitree Quartzite|40009|Arltunga Gold Metallogenic Province
8225|Heavitree Quartzite|467256|Arunta Orogen
8256|Helen Springs Volcanics|468269|Kalkarindji Igneous Province
8256|Helen Springs Volcanics|529556|Georgina Basin
8291|Hermannsburg Sandstone|22078|Amadeus Basin
8293|Hermit Creek Metamorphics|20392|Litchfield Block
8293|Hermit Creek Metamorphics|512263|Pine Creek Orogen
27432|Hibernia Formation|21914|Bonaparte Basin
27432|Hibernia Formation|26965|Malita Graben
27432|Hibernia Formation|28315|Vulcan Sub-basin
27432|Hibernia Formation|28450|Ashmore Platform
27432|Hibernia Formation|28590|Sahul Platform
27432|Hibernia Formation|33446|Londonderry High
27432|Hibernia Formation|33676|Troubadour Terrace
8362|Hillsoak Bore Metamorphics|40009|Arltunga Gold Metallogenic Province
8362|Hillsoak Bore Metamorphics|467256|Arunta Orogen
8388|Hobblechain Rhyolite|559170|Arnhem Province
8468|Hooker Creek Formation|22109|Wiso Basin
8476|Hooray Sandstone|529302|Eromanga Basin
8493|Horn Valley Siltstone|22078|Amadeus Basin
8504|Horseshoe Bend Shale|22078|Amadeus Basin
28612|Huckitta Granodiorite|467256|Arunta Orogen
8558|Hugh River Shale|22078|Amadeus Basin
8560|Hughie Sandstone|467208|Birrindudu Basin
8643|Idracowra Sandstone|22078|Amadeus Basin
41844|Ikuntji Metamorphics|467256|Arunta Orogen
8653|Illara Sandstone|22078|Amadeus Basin
41845|Illili Suite|364772|Warumpi Province
41845|Illili Suite|467256|Arunta Orogen
25690|Illoquara Sandstone|467256|Arunta Orogen
21994|Illyabba Metamorphics|467256|Arunta Orogen
42369|Ilpili Dolerite|364772|Warumpi Province
42369|Ilpili Dolerite|467256|Arunta Orogen
8701|Ingula Migmatite Complex|467256|Arunta Orogen
8702|Ingula Migmatite Suite|467256|Arunta Orogen
26630|Inindia beds|22078|Amadeus Basin
42375|Ininti Granite|364772|Warumpi Province
42375|Ininti Granite|467256|Arunta Orogen
27437|Inkamulla Granodiorite|467256|Arunta Orogen
41160|Inningarra Suite|467226|Tanami Orogen
42200|Inyalinga Granulite|364772|Warumpi Province
42200|Inyalinga Granulite|467256|Arunta Orogen
8769|Irindina Gneiss|467256|Arunta Orogen
8769|Irindina Gneiss|512258|Irindina Province
24318|Iwupataka Metamorphic Complex|364772|Warumpi Province
24318|Iwupataka Metamorphic Complex|467256|Arunta Orogen
22013|Jalma Formation|512264|McArthur Basin
8851|Jamieson Formation|21914|Bonaparte Basin
8851|Jamieson Formation|22102|Browse Basin
8851|Jamieson Formation|26965|Malita Graben
8851|Jamieson Formation|28315|Vulcan Sub-basin
8851|Jamieson Formation|28590|Sahul Platform
8851|Jamieson Formation|33446|Londonderry High
8851|Jamieson Formation|33676|Troubadour Terrace
8878|Jarrad Sandstone Member|467204|Wolfe Basin
8892|Jay Creek Limestone|22078|Amadeus Basin
27291|Jennings Granitic Gneiss|467256|Arunta Orogen
30859|Jennings Suite|467256|Arunta Orogen
28624|Jervois Granite|467256|Arunta Orogen
30860|Jervois Suite|467256|Arunta Orogen
8949|Jessie Gap Gneiss|467256|Arunta Orogen
22033|Jigaimara Formation|359040|Arafura Basin
26643|Jinka Granite|467256|Arunta Orogen
30861|Jinka Suite|467256|Arunta Orogen
24321|Johannsen Metagabbro|467256|Arunta Orogen
9070|Julie Formation|22078|Amadeus Basin
22045|Junalki Formation|468265|Warramunga Province
72697|Kaidwalla Granite|468041|Davenport Province
9110|Kakadu Group|512263|Pine Creek Orogen
75724|Kalkarindji Suite|529556|Georgina Basin
9156|Kamarga Volcanics|556523|Mount Isa Orogen
9156|Kamarga Volcanics|559187|Century Domain
9201|Kanandra Granulite|467256|Arunta Orogen
9292|Karns Dolomite|512264|McArthur Basin
9292|Karns Dolomite|556523|Mount Isa Orogen
9312|Katherine River Group|512264|McArthur Basin
9368|Keep Inlet Formation|22075|Petrel Sub-basin
9375|Keepera Group|22113|Ngalia Basin
9375|Keepera Group|529556|Georgina Basin
9402|Kellys Knob Sandstone|21914|Bonaparte Basin
75947|Keri Metamorphics|512263|Pine Creek Orogen
25117|Kerridy Sandstone|22113|Ngalia Basin
9483|Keyling Formation|21914|Bonaparte Basin
9483|Keyling Formation|22075|Petrel Sub-basin
9483|Keyling Formation|22114|Canning Basin
9483|Keyling Formation|22196|Roebuck Basin
9483|Keyling Formation|28315|Vulcan Sub-basin
9483|Keyling Formation|28450|Ashmore Platform
9483|Keyling Formation|33446|Londonderry High
69563|Kiana Group|529556|Georgina Basin
