Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
13264|Mountain Creek Volcanics|overlies|27746|Condor Granodiorite||
3563|Captains Flat Formation|overlies|4677|Copper Creek Shale|not specified|
3716|Carwoola Formation|overlies|4677|Copper Creek Shale|disconformity|
15299|Pittman Formation|underlies|4677|Copper Creek Shale|not specified|
4334|Colinton Volcanics|is intruded by|4764|Cosgrove Porphyry||
20516|Woodlawn Volcanics|underlies|4789|Covan Creek Formation|disconformity|
18134|Tidbinbilla Quartzite|is intruded by|28479|Cow Flat Granite Porphyry||
13411|Mumbil Group|underlies|4981|Cuga Burga Volcanics|not specified|
20516|Woodlawn Volcanics|underlies|27138|Currawang Basalt|not specified|Interfingering relationship.
20516|Woodlawn Volcanics|overlies|5292|De Drack Formation|not specified|Also interfingers.
10024|Laidlaw Volcanics|overlies|25874|Deakin Volcanics|conformity|
24403|Mount Painter Volcanics|underlies|25874|Deakin Volcanics|disconformity|
20879|Yarralumla Formation|underlies|25874|Deakin Volcanics|conformity|
20908|Yass Formation|underlies|25874|Deakin Volcanics|not specified|
15299|Pittman Formation|is intruded by|25893|Ellenden Granite||
4813|Cowridge Siltstone|underlies|26537|Elmside Formation|not specified|
2895|Bullenbalong Suite|underlies|24268|Enano Group|nonconformity|
20879|Yarralumla Formation|underlies|24274|Federal Golf Course Tonalite|disconformity|
3824|Cavan Bluff Limestone|overlies|40945|Fifeshire Shale|not specified|
5668|Douro Group|overlies|25912|Forbes Group|not specified|
13411|Mumbil Group|underlies|7789|Gregra Group|not specified|
16491|Ryrie Formation|overlies|7908|Gungoandra Siltstone|not specified|
16898|Silverdale Formation|underlies|8145|Hattons Corner Group||
3447|Canberra Formation|underlies|8179|Hawkins Suite|not specified|
20908|Yass Formation|overlies|8179|Hawkins Suite|not specified|
3447|Canberra Formation|underlies|8184|Hawkins Volcanics||
20879|Yarralumla Formation|overlies|8184|Hawkins Volcanics||
20908|Yass Formation|overlies|8184|Hawkins Volcanics|not specified|
1776|Black Bog Shale|overlies|8569|Hume Limestone Member|not specified|Partly underlies.
10619|Long Flat Volcanics|overlies|78646|Jinglemoney Conglomerate||
13264|Mountain Creek Volcanics|underlies|9634|Kirawin Formation|not specified|
3563|Captains Flat Formation|overlies|27175|Kohinoor Volcanics|conformity|
3716|Carwoola Formation|overlies|27175|Kohinoor Volcanics|not specified|
4677|Copper Creek Shale|underlies|27175|Kohinoor Volcanics|conformity|
16898|Silverdale Formation|overlies|10024|Laidlaw Volcanics|not specified|
20879|Yarralumla Formation|underlies|10024|Laidlaw Volcanics||
20908|Yass Formation|underlies|10024|Laidlaw Volcanics|not specified|
3824|Cavan Bluff Limestone|underlies|11044|Majurgong Formation|not specified|
19257|Wallace Shale|overlies|26743|Mirrabooka Formation|not specified|
3447|Canberra Formation|underlies|12438|Mount Ainslie Volcanics|conformity|
24403|Mount Painter Volcanics|overlies|12438|Mount Ainslie Volcanics|disconformity|
25874|Deakin Volcanics|overlies|24403|Mount Painter Volcanics|disconformity|
12438|Mount Ainslie Volcanics|underlies|24403|Mount Painter Volcanics|disconformity|
19240|Walker Volcanics|underlies|24403|Mount Painter Volcanics|unconformity|
20879|Yarralumla Formation|overlies|24403|Mount Painter Volcanics|disconformity|
20908|Yass Formation|overlies|24403|Mount Painter Volcanics|unconformity|
24403|Mount Painter Volcanics|underlies|24407|Mugga Mugga Porphyry Member|disconformity|
20879|Yarralumla Formation|underlies|24407|Mugga Mugga Porphyry Member|conformity|
24208|Camp Hill Sandstone Member|overlies|13560|Murrumbateman Creek Formation|unconformity|
3447|Canberra Formation|overlies|13560|Murrumbateman Creek Formation|unconformity|
15299|Pittman Formation|underlies|13560|Murrumbateman Creek Formation|unconformity|
8184|Hawkins Volcanics|underlies|40931|O'Briens Creek Sandstone Member|not specified|
12438|Mount Ainslie Volcanics|is equivalent to|26093|Paddys River Volcanics||
16803|Shannons Flat Granodiorite|intrudes|26093|Paddys River Volcanics||
19240|Walker Volcanics|is equivalent to|26093|Paddys River Volcanics||
19257|Wallace Shale|overlies|14847|Panuara Formation||
3447|Canberra Formation|overlies|15299|Pittman Formation|not specified|
3554|Cappanana Formation|overlies|15299|Pittman Formation|not specified|
