Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
15428|Poodyea Formation|60122|5|Briefly described|p36|Cenozoic|Cenozoic|Cobble and boulder conglomerate, pebbly sandstone.  Unconformable on Nora Formation, Carlo Sandstone, Mithaka Formation and Ethabuka Sandstone. Max. thickness: 10m. Geol.Prov: Georgina Basin. See also p4-5, p10 Tb. 1.|||||
15428|Poodyea Formation|60590|5|Briefly described|Map legend|Cenozoic|Cenozoic|Cobble and boulder conglomerate, pebbly sandstone.|||||
15428|Poodyea Formation|61155|5|Briefly described|p16|Early Miocene|Early Miocene|Overlain by Mount Coley Sinter. Age: 21-17Ma. Thickness: 6m. Geological Province: Georgina Basin.|||||
15428|Poodyea Formation|61404|5|Briefly described|Map legend|Neogene||Cobble and boulder conglomerate, pebbly sandstone.  Geological Province: southern Georgina Basin.|||||
15428|Poodyea Formation|63450|5|Briefly described|p78 Fig. 5|Tertiary|Tertiary|Geological province: Georgina Basin, West Toko Syncline.|||||
15428|Poodyea Formation|64068|3|Fully described|p79,p42, p ix|Miocene|Miocene|Proposed Radke (1983). Overlies Georgina Basin rocks. Formerly included in Cravens Peak beds (Reynolds in Smith 1965), Mithaka Formation, Carlo Sandstone (Smith 1965, and others).||||Unconformably overlies Cravens Peak beds, Ethabuka and Carlo Sandstones, Mithaka and Nora Formations.|Cobble and boulder conglomerate, pebbly sandstone. Fluviatile channel deposits.
15428|Poodyea Formation|68553|6|Mentioned|Map legend|Neogene|Paleogene|This unit, as well as Elliott and Mueller Formations; Austral Downs, Horse Creek and Noranside Limestones; Mount Coley Sinter, Pomona beds and unnamed sedimentary units, are all mapped under the symbol, Tm.|||||
15442|Poolowanna Formation|13516|6|Mentioned|p167 fig 10, p171 fig 12, p172|Middle Jurassic|Early Jurassic|In Eromanga Basin.|||||
15442|Poolowanna Formation|22839|6|Mentioned|P33||||||||
15442|Poolowanna Formation|22883|5|Briefly described|P31, Fig2||Early Jurassic|Overlying unit is Algebuckina Sandstone|||||
15442|Poolowanna Formation|23054|6|Mentioned|Fig5p22|Aalenian|Sinemurian||||||
15442|Poolowanna Formation|23154|5|Briefly described|Map Legend|Early Jurassic|Early Jurassic|Geological Province - Eromanga Basin.|||||
15442|Poolowanna Formation|23155|4|Described|p25|Early Jurassic|Early Jurassic|Early Jurassic in age from palynological evidence. Unit contains coal seams (<1m typically) and has carbonised plant fossils preserved on bedding surfaces.  On STRZELECKI the unit is overlain by Hutton Sandstone (conformity).|||||
15442|Poolowanna Formation|23375|4|Described|Fig2 p265|Aalenian|Sinemurian|In the Eromanga Basin.|||||
15442|Poolowanna Formation|23982|5|Briefly described|p58 Fig.18|||Geological Province: Eromanga Basin.|||||
15442|Poolowanna Formation|24092|5|Briefly described|p8 Fig.3|||Geological Province: Eromanga Basin.|||||
