Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
39057|BB16|overlies|39054|BB15a|not specified|
39054|BB15a|underlies|39055|BB15b|not specified|
39056|BB15c|overlies|39055|BB15b|not specified|
39055|BB15b|underlies|39056|BB15c|not specified|
39057|BB16|overlies|39056|BB15c|not specified|
39052|BB13|underlies|39057|BB16|not specified|
39053|BB14|underlies|39057|BB16|not specified|
39054|BB15a|underlies|39057|BB16|not specified|
39056|BB15c|underlies|39057|BB16|not specified|
39058|BB17|overlies|39057|BB16|not specified|
39059|BB18|overlies|39057|BB16|not specified|
39060|BB19|overlies|39057|BB16|not specified|
39062|BB21|overlies|39057|BB16|not specified|
39057|BB16|underlies|39058|BB17|not specified|
39059|BB18|overlies|39058|BB17|not specified|
39057|BB16|underlies|39059|BB18|not specified|
39058|BB17|underlies|39059|BB18|not specified|
39060|BB19|overlies|39059|BB18|not specified|
39061|BB20|overlies|39059|BB18|not specified|
39057|BB16|underlies|39060|BB19|not specified|
39059|BB18|underlies|39060|BB19|not specified|
39061|BB20|overlies|39060|BB19|not specified|
39063|BB22|overlies|39060|BB19|not specified|
39033|BB1|underlies|39034|BB2|not specified|
39036|BB3|overlies|39034|BB2|not specified|
39041|BB6|overlies|39034|BB2|not specified|
39042|BB7|overlies|39034|BB2|not specified|
39059|BB18|underlies|39061|BB20|not specified|
39060|BB19|underlies|39061|BB20|not specified|
39062|BB21|overlies|39061|BB20|not specified|
39053|BB14|underlies|39062|BB21|not specified|
39057|BB16|underlies|39062|BB21|not specified|
39061|BB20|underlies|39062|BB21|not specified|
39063|BB22|overlies|39062|BB21|not specified|
39057|BB16|underlies|39063|BB22|not specified|
39059|BB18|underlies|39063|BB22|not specified|
39060|BB19|underlies|39063|BB22|not specified|
39062|BB21|underlies|39063|BB22|not specified|
39046|BB9|underlies|39063|BB22|not specified|
39034|BB2|underlies|39036|BB3|not specified|
39038|BB4|overlies|39036|BB3|not specified|
39047|BB10|overlies|39038|BB4|not specified|
39036|BB3|underlies|39038|BB4|not specified|
39040|BB5|overlies|39038|BB4|not specified|
39041|BB6|overlies|39038|BB4|not specified|
39043|BB8a|overlies|39038|BB4|not specified|
39045|BB8c|overlies|39038|BB4|not specified|
39046|BB9|overlies|39038|BB4|not specified|
39038|BB4|underlies|39040|BB5|not specified|
39041|BB6|overlies|39040|BB5|not specified|
39042|BB7|overlies|39040|BB5|not specified|
39050|BB12b|overlies|39041|BB6|not specified|
39034|BB2|underlies|39041|BB6|not specified|
39038|BB4|underlies|39041|BB6|not specified|
39040|BB5|underlies|39041|BB6|not specified|
39042|BB7|overlies|39041|BB6|not specified|
39043|BB8a|overlies|39041|BB6|not specified|
39034|BB2|underlies|39042|BB7|not specified|
39040|BB5|underlies|39042|BB7|not specified|
39041|BB6|underlies|39042|BB7|not specified|
39043|BB8a|overlies|39042|BB7|not specified|
39047|BB10|overlies|39043|BB8a|not specified|
39049|BB12a|overlies|39043|BB8a|not specified|
39038|BB4|underlies|39043|BB8a|not specified|
39041|BB6|underlies|39043|BB8a|not specified|
39042|BB7|underlies|39043|BB8a|not specified|
39044|BB8b|overlies|39043|BB8a|not specified|
39045|BB8c|overlies|39043|BB8a|not specified|
39046|BB9|overlies|39043|BB8a|not specified|
39047|BB10|overlies|39044|BB8b|not specified|
39043|BB8a|underlies|39044|BB8b|not specified|
39045|BB8c|overlies|39044|BB8b|not specified|
39046|BB9|overlies|39044|BB8b|not specified|
39038|BB4|underlies|39045|BB8c|not specified|
