Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
8404|Hodgkinson Formation|is intruded by|24177|Bellenden Ker Granite||
27302|The Fisheries Basalt|overlies|24177|Bellenden Ker Granite|unconformity|
31382|Neurum Complex|intrudes|1429|Bellthorpe Andesite||
13528|Murphy Metamorphics|underlies|42492|Benmara Group|unconformity|
17123|South Nicholson Group|overlies|42492|Benmara Group|unknown|
27497|Mosaic Gully Rhyolite|overlies|1501|Beril Peak Rhyolite|conformity|
20938|Yellow Jacket Rhyolite|underlies|1501|Beril Peak Rhyolite|conformity|
26300|Daniel Creek Formation|overlies|27075|Bernecker Creek Formation||
25745|Robertson River Subgroup|overlies|27075|Bernecker Creek Formation|conformity|
32041|Mount Alma Formation|underlies|38891|Berserker Group|unconformity|
16202|Rockhampton Group|underlies|38891|Berserker Group|unconformity|
40141|Warminster Formation|overlies|38891|Berserker Group|unconformity|
401|Anakie Metamorphic Group|is intruded by|23382|Bevandale Granodiorite||
25477|Silver Hills Volcanics|overlies|23382|Bevandale Granodiorite|unconformity|
2445|Box Gully Formation|overlies|26390|Biarraville Formation|conformity|
8033|Hampton Road Rhyolite|underlies|26390|Biarraville Formation|conformity|
25820|Burdekin Formation|overlies|36217|Big Bend Formation|conformity|
16185|Robin Hood Granodiorite|underlies|27037|Big Surprise Tuff|not specified|
24007|Talaveras Rhyolite|overlies|27037|Big Surprise Tuff|disconformity|
24032|Thunder Egg Rhyolite|overlies|27037|Big Surprise Tuff|disconformity|
6639|Fiery Creek Volcanics|overlies|1621|Bigie Formation|conformity|
10558|Lochness Formation|underlies|1621|Bigie Formation|not specified|
11575|McNamara Group|overlies|1621|Bigie Formation|not specified|
15764|Quilalar Formation|underlies|1621|Bigie Formation|unconformity|
17551|Surprise Creek Formation|overlies|1621|Bigie Formation|unconformity|
19842|Westmoreland Conglomerate|overlies|1637|Billicumidji Rhyolite Member|unconformity|
25477|Silver Hills Volcanics|overlies|23388|Bimurra Volcanics|not specified|
143|Adori Sandstone|overlies|1729|Birkhead Formation|not specified|
8610|Hutton Sandstone|underlies|1729|Birkhead Formation|conformity|
19796|Westbourne Formation|overlies|1729|Birkhead Formation|not specified|
1032|Bandanna Formation|overlies|24726|Black Alley Shale|not specified|
14984|Peawaddy Formation|underlies|24726|Black Alley Shale|conformity|
26361|Bagstowe Granite|overlies|40850|Black Cap Microdiorite|not specified|
23883|Old Man Rhyolite|underlies|40850|Black Cap Microdiorite|not specified|
5470|Digby Formation|overlies|1798|Black Jack Group|unconformity|
19589|Watermark Formation|underlies|1798|Black Jack Group|not specified|
27037|Big Surprise Tuff|underlies|27969|Black Soil Andesite|disconformity|
16185|Robin Hood Granodiorite|underlies|27969|Black Soil Andesite|not specified|
24007|Talaveras Rhyolite|underlies|27969|Black Soil Andesite|disconformity|
24032|Thunder Egg Rhyolite|overlies|27969|Black Soil Andesite|disconformity|
18088|Thorntonia Limestone|overlies|1843|Black Stump Arkose|not specified|
26242|Yardida Tillite|underlies|1843|Black Stump Arkose|disconformity|
77803|Kangaroo Rat Granite|intrudes|27713|Blackman Gap Complex||
39|Aberdare Conglomerate|overlies|1871|Blackstone Formation|unconformity|
15784|Raceview Formation|overlies|1871|Blackstone Formation|unconformity|
18248|Tivoli Formation|underlies|1871|Blackstone Formation|conformity|
12604|Mount Crosby Formation|overlies|26398|Blackwall Breccia|not specified|
14021|Neranleigh-Fernvale beds|underlies|26398|Blackwall Breccia|not specified|
19691|Weir Basalt|underlies|26398|Blackwall Breccia|not specified|
24726|Black Alley Shale|underlies|1876|Blackwater Group|unconformity|
