Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41788|Gozzard, J.R., Mouritz, M.J.|1989|Mineral resources and mining of the Spearwood and Bassendean Dune Systems.|Royal Society of Western Australia. Journal|71(4)|p109-110
41789|Semeniuk, V., Glassford, D.K.|1989|Bassendean and Spearwood dunes: their geomorphology, stratigraphy and soils as a basis for habitats of Banksia woodlands.|Royal Society of Western Australia. Journal|71(4)|p87-88
41801|Walter, M.R., Elphinstone, R., Heys, G.R.|1989|Proterozoic and Early Cambrian trace fossils from the Amadeus and Georgina Basins, central Australia.|Alcheringa|13(3)|p209-256
41809|Dickins, J.M.|1989|Youngest Permian marine macrofossil fauna from the Bowen and Sydney Basins, eastern Australia.|BMR Journal of Australian Geology and Geophysics|11(1)|p63-79
41811|Young, R.W.|1987|Sandstone landforms of the tropical East Kimberley region, northwestern Australia.|Journal of Geology|95(2)|p205-218
41816|Wakelin-King, G.A.|1989|Geology of Simpsons Gap National Park.|Northern Territory Geological Survey, Report|6|
41819|Bagas, L.|1988|Geology of Kings Canyon National Park 1:100 000 map. First e dition. Accompanying NTGS Report 4.|Northern Territory Geological Survey, Report|4|Map
41820|Bagas, L.|1988|Geology of Kings Canyon National Park.|Northern Territory Geological Survey, Report|4|
41828|Arne, D.C., Green, P.F., Duddy, I.R., Gleadow, A.J.W., Lambert, I.B., Lovering, J.F.|1989|Regional thermal history of the Lennard Shelf, Canning Basin, from apatite fission track analysis: Implications for the formation of Pb-Zn ore deposits.|Australian Journal of Earth Sciences|36(4)|p495-513
41831|Murray-Wallace, C.V., Kimber, R.W.L.|1989|Quaternary marine aminostratigraphy: Perth Basin, Western Australia.|Australian Journal of Earth Sciences|36(4)|p553-568
41837|Wakelin-King, G.A.|1989|Geology of Simpsons Gap National Park, 1:100 000 map. 1st ed ition (accompanying NTGS Report 6).|Northern Territory. Department of Mines and Energy|1v|
41838|Hall, J.|1985|The hydrogeology of Lake Mariginiup, Perth, Western Australia.|Geological Survey of Western Australia. Report|14|p1-13
41839|Cockbain, A.E.|1985|Carboniferous of Western Australia - a review.|Geological Survey of Western Australia. Report|14|p14-35
41840|Mory, A.J., Beere, G.M.|1985|Palaeozoic stratigraphy of the Ord Basin, Western Australia and Northern Territory.|Geological Survey of Western Australia. Report|14|p36-45
41841|Watkins, K.P., Tyler, I.M.|1985|Structural and stratigraphic relationships in the Archaean granite-greenstone terrain around Cue, Western Australia.|Geological Survey of Western Australia. Report|14|p46-56
41842|Myers, J.S.|1985|The Fraser Complex - a major layered intrusion in Western Australia.|Geological Survey of Western Australia. Report|14|p57-66
41843|de Laeter, J.R., Seymour, D.B., Libby, W.G.|1985|A rubidium-strontium date from felsic volcanics within the Mount Roe Basalt of the Wyloo Dome.|Geological Survey of Western Australia. Report|14|p67-71
41845|Thorne, A.M.|1985|Upward-shallowing sequences in the Precambrian Duck Creek Dolomite, Western Australia.|Geological Survey of Western Australia. Report|14|p81-93
41846|Grey, K.|1985|Stromatolites in the Proterozoic Duck Creek Dolomite, Western Australia.|Geological Survey of Western Australia. Report|14|p94-103
41847|Davy, R., Pryce, M.|1985|Stratabound axinite in the Weeli Wolli Formation and its occurrence in related dolerites.|Geological Survey of Western Australia. Report|14|p104-111
41851|DiMarco, M.J., Lowe, D.R.|1989|Petrography and provenance of silicified early Archaean volcaniclastic sandstones, eastern Pilbara Block, Western Australia.|Sedimentology|36(5)|p821-836
41852|Lindsay, J.F.|1989|Depositional controls on glacial facies associations in a basinal setting, Late Proterozoic, Amadeus Basin, Central Australia.|Palaeogeography, Palaeoclimatology, Palaeoecology|73(3/4)|p205-232
41854|Watson, S.T.|1988|Ordovician conodonts from the Canning Basin (W. Australia).|Palaeontographica, Abteilung A|A 203(4-6)|p91-147
41864|Mory, A.J., Beere, G.M.|1988|Geology of the onshore Bonaparte and Ord Basins in Western Australia.|Geological Survey of Western Australia. Bulletin|134|
41865|Beere, G.M., Mory, A.J.|1988|Bonaparte and Ord Basins: Northern Sheet. IN Geological Survey of Western Australia. Bulletin 134.|Geological Survey of Western Australia. Bulletin|134|Map, Plate 1
41866|Beere, G.M., Mory, A.J.|1988|Bonaparte and Ord Basins: Southern Sheet. IN Geological Survey of Western Australia. Bulletin 134.|Geological Survey of Western Australia. Bulletin|134|Map, Plate 2
41867|Mory, A.J., Beere, G.M.|1988|Ningbing Range.|Geological Survey of Western Australia. Bulletin|134|Map, Plate 3
41878|Eupene, G.S.|1989|The Mount Bonnie Project. IN Jones D.G. (ed) - Northern Territory gold deposits. Bicentennial Gold 88. Excursion guidebook.|University of Western Australia. Department of Geology. Publication|16|p34-38
41883|Eupene, G.S., Nicholson, P.M., Hickey, S.H.|1989|The Tanami Gold Project. IN Jones D.G. (ed) - Northern Territory gold deposits. Bicentennial Gold 88. Excursion guidebook.|University of Western Australia. Department of Geology. Publication|16|p64-69
41884|Freeman, M.J.|1989|Geology and geomorphology of Ayers Rock and The Olgas. IN Jones D.G. (ed) - Northern Territory gold deposits. Bicentennial Gold 88. Excursion guidebook.|University of Western Australia. Department of Geology. Publication|16|p70-71
41885|Mueller, A.G.|1989|Archaean gold-silver deposits with prominent calc-silicate alteration in the Southern Cross greenstone belt, Western Australia: analogues of Phanerozoic skarn deposits. IN Ho S.E. & Groves D.I. (eds) - Advances in understanding Pre..|University of Western Australia. Department of Geology. Publication|12|p141-163
41886|Cassidy, K.F.|1989|Petrology and alteration of an Archaean granitoid-hosted gold deposit. IN Ho S.E. & Groves D.I. (eds) - Advances in understanding Precambrian gold deposits vol.2.|University of Western Australia. Department of Geology. Publication|12|p165-183
41887|Cassidy, K.F., McNaughton, N.J., Turner, J.V.|1989|Preliminary carbonate stable-isotope data for the Lawlers gold deposit, Western Australia. IN Ho S.E. & Groves D.I. (eds) - Advances in understanding Precambrian gold deposits vol.2.|University of Western Australia. Department of Geology. Publication|12|p185-194
41889|Phillips, G.N., Groves, D.I., Amaro, D., Hallbauer, D.K., Fotios, M.G.|1989|Morphology and trace-element compositions of pyrites from Ka lgoorlie gold deposits: sensitive indicators of syndeformati onal fluid regimes and depositional processes. IN Ho S.E. & Groves D.I. (eds) - Advances in understanding Precambrian.|University of Western Australia. Department of Geology. Publication|12|p217-226
41890|Perring, C.S.|1989|Petrogenesis of the lamprophyre-"porphyry" suite from Kambalda, Western Australia. IN Ho S.E. & Groves D.I. (eds) - Advances in understanding Precambrian gold deposits vol.2.|University of Western Australia. Department of Geology. Publication|12|p277-294
41892|Goellnicht, N.M., Groves, I.M., Groves, D.I., Ho, S.E., McNaughton, N.J.|1989|A comparison between mesothermal gold deposits of the Yilgarn Block and gold mineralization at Telfer and Miralga Creek, Western Australia: indirect evidence for a non-magmatic origin... IN Ho S.E. & Groves D.I. (eds) - Advances in underst.|University of Western Australia. Department of Geology. Publication|12|p309-319
41894|Rigby, J.K.|1986|Late Devonian sponges of Western Australia.|Geological Survey of Western Australia. Report|18|1v
41900|Grice, J.D., Bevan, A.W.R.|1989|Frohbergite, unnamed - Au3(AgPb)As2TE3, and related tellurides from the North Kalgurli mine, Western Australia.|Australian Mineralogist|4(4)|p133-140
41912|Wyrwoll, K.H., Glover, G.E.|1989|The geological and geomorphological framework of Western Aus tralia.|Western Australian Year Book|1v|p11-34
41913|Wallace, M.W.|1990|Origin of dolomitization on the Barbwire Terrace, Canning Ba sin, Western Australia.|Sedimentology|37(1)|p105-122
41914|Hunter, W.M.|1989|Explanatory notes on the Boorabbin 1:250 000 geological sheet, Western Australia (second edition).|Geological Survey of Western Australia. Record|1989(3)|
41918|Goudie, A.S., Bull, P.A., Magee, A.W.|1989|Lithological control of rillenkarren development in the Napier Range, Western Australia.|Zeitschrift fur Geomorphologie|75(Supplementband)|p95-114
41935|Barley, M.E., Groves, D.I.|1990|Deciphering the tectonic evolution of Archaean greenstone belts: the importance of contrasting histories to the distribution of mineralization in the Yilgarn Craton, Western Australia.|Precambrian Research|46(1/2)|p3-20
41938|Collins, W.J., Gray, C.M.|1990|Rb-Sr isotopic systematics of an Archaean granite-gneiss terrain: The Mount Edgar Batholith, Pilbara Block, Western Australia.|Australian Journal of Earth Sciences|37(1)|p9-22
41942|Kinny, P.D., Wijbrans, J.R., Froude, D.O., Williams, I.S., Compston, W.|1990|Age constraints of the geological evolution of the Narryer Gneiss Complex, Western Australia.|Australian Journal of Earth Sciences|37(1)|p51-69
41946|McNaughton, N.J., Goellnicht, N.M.|1990|The age and radiothermal properties of the Mount Crofton Granite, Telfer area, Western Australia.|Australian Journal of Earth Sciences|37(1)|p103-106
41952|Trudo, A.G.|1990|Comment and reply on "Evaporites and strata-bound tungsten mineralization".|Geology|18(2)|p188-189
41955|Davy, R., Clarke, R.M., Seymour, D.B.|1989|Geochemical data from the Mount Clement gold and lead prospects, Ashburton Basin, Western Australia.|Geological Survey of Western Australia. Record|1989/16|1v
