**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
D44/f9002	S159/f1002	Outcrop	CTH 31					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU CTH 31	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9003	S159/f1003	Outcrop	CTH 32					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU CTH 32	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9020	S159/f1020	Outcrop	15					Force, L.M.; 	1969	Puruhauan				259.8	254.2			In Palaeontogr. 1968 p. 50 Wat. describes Spir. n.sp. from J.D. Campbell's loc 2018. This is NOT in the Hawtel, but the Glendale and is = LF15	
D44/f9036	S159/f1036	Outcrop	AP56, 57, 58					Force, E.R; 	August 2, 1968	Etalian	?			245.5	238.0			All fossils very small. Fauna similar to S159/467	
D44/f9036	S159/f1036	Outcrop	AP56, 57, 58					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU ERF AP57	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9062	S159/f1062	Outcrop	JDC 1462						March 1, 1971	Etalian				245.5	238.0				
D44/f9062	S159/f1062	Outcrop	JDC 1462					MacFarlan, D.A.B.; 	1992	Kaihikuan				238.0	229.0		Otago U OU JDC 1462	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9129	S159/f1129	Outcrop	344					Begg, J.G.; 	November 6, 1974	Mangapirian		Braxtonian		285.0	259.8	Insufficient fossil evidence to correlate directly with the Productus Creek Group formation	344		
D44/f9130	S159/f1130	Outcrop	757					Begg, J.G.; 	November 6, 1974	Etalian				245.5	238.0		757		
D44/f9130	S159/f1130	Outcrop	757					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JGB 757	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9131	S159/f1131	Outcrop	82 and 803					Begg, J.G.; 	November 5, 1974	Braxtonian				276.0	259.8	From the type formation of YAb (Waterhouse).	82/803	Collection from ref soft wet sandstone.	
D44/f9132	S159/f1132	Outcrop	621					Begg, J.G.; 	November 6, 1974	Etalian				245.5	238.0	Fauna typical of Etalian	621		
D44/f9132	S159/f1132	Outcrop	621					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JGB 621	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9133	S159/f1133	Outcrop	421/422					Begg, J.G.; 	November 6, 1974	Etalian				245.5	238.0		421/422		
D44/f9133	S159/f1133	Outcrop	421/422					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JGB 421, 422	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9478	S159/f0478	Outcrop															GNS B 1033	Specimen transferred from macropaleontology collection (BR. 948).	
D44/f9478	S159/f0478	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0	ARTINSKIAN COLD WATER FACIES - SEE PAL.BULL. 19.	GNS GS 3616	BRACHIOPOD DETERMINATIONS PUBLISHED FLETCHER, HILL & WILLETT, 1952, PAL. BULL. 19; WATERHOUSE, 1964, PAL.BULL. 35; WATERHOUSE, 1968, 1968, PALEONT. 129; WATERHOUSE, 1969, PAL.BULL. 41; WATERHOUSE 1982, PAL.BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1965, PALEONT. 6 & 7; WATERHOUSE, 1980, JRSNZ (10) 1 & (10) 2; WATERHOUSE 1982, PAL.BULL. 49. SCAPHOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ. 10 (2): 195-214. GASTROPOD DETERMINATIONS PUBLISHED PAL.BULL. 19 - FLETCHER, HILL & WILLETT, 1952; WATERHOUSE 1963, NZJGG 6; WATERHOUSE 1980, JRSNZ 10 (2). MOLLUSCA DETERMINATIONS PUBLISHED WATERHOUSE 1980 JRSNZ 10 (2): 195-214.	
D44/f9478	S159/f0478	Outcrop						Willett, R.W.; 		Telfordian		Makarewan		288.5	251.0	ARTINSKIAN COLD WATER FACIES - SEE PAL BULL. 19.	GNS GS 3616	DETERMINATIONS PUBLISHED FLETCHER, HILL & WILLETT, 1952 PAL. BULL. 19.	
D44/f9478	S159/f0478	Outcrop															GNS L 5654	Specimen transferred from macropaleontology collection (BR. 948).	
D44/f9478A	S159/f0478A	Outcrop	PC13					Begg, J.G.; 	May 12, 1983	Makarewan				253.2	251.0		GNS GS 13507		
D44/f9478B	S159/f0478B	Outcrop	HJC 1082					Campbell, H.J.; 	February 7, 1986	Braxtonian				276.0	259.8		GNS GS 14049		
D44/f9478B	S159/f0478B	Outcrop	HJC 1082					Olivecrona, Y.M.; 	July 8, 1986								GNS L 12962	MANY UNIDENTIFIABLE BROKEN GRAINS.	
D44/f9478B	S159/f0478B	Outcrop	HJC 1082					Campbell, H.J.; 	1996	Braxtonian				276.0	259.8		GNS B 1334		
D44/f9478C	S159/f0478C	Outcrop	HJC1140					Campbell, H.J.; 	October 20, 1987	Puruhauan				259.8	254.2		GNS GS 14259		
D44/f9478C	S159/f0478C	Outcrop	HJC1140					Campbell, H.J.; 	1996	Braxtonian				276.0	259.8		GNS B 1332		
D44/f9479	S159/f0479	Outcrop						Willett, R.W.; 	1946	Telfordian		Makarewan		288.5	251.0		GNS GS 3615	DETERMINATIONS PUBLISHED FLETCHER, HILL & WILLETT, 1952 PAL.BULL. 19.	
D44/f9479	S159/f0479	Outcrop						Waterhouse, J.B.; 	1968	Telfordian		Makarewan		288.5	251.0		GNS GS 3615	DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129, WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9480	S159/f0480	Outcrop						Waterhouse, J.B.; 		Mangapirian				285.0	276.0		GNS GS 3614	DETERMINATIONS PUBLISHED FLETCHER, HILL & WILLETT 1952, PAL. BULL. 19; WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1982, PAL. BULL. 48.	
D44/f9480	S159/f0480	Outcrop						Waterhouse, J.B.; 	1969	Mangapirian				285.0	276.0		GNS GS 3614	DETERMINATIONS PUBLISHED WATERHOUSE 1969, PAL.BULL. 41.	
D44/f9511	S159/f0511	Outcrop						Hill, D.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 5296	SEE D. HILL - PAL.BULL. 19.	
