Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41933|White, A.J.R., Chappell, B.W., Williams, I.S., Glen, R.A.|1989|Numbla, New South Wales, 1:100 000 geological series. Sheet 8624 (Edition 1).|Geological Survey of New South Wales|1v|Map
41939|Branagan, D.F., Pedram, H.|1990|The Lapstone Structural Complex, New South Wales.|Australian Journal of Earth Sciences|37(1)|p23-36
41941|Allan, A.D., Leitch, E.C.|1990|The tectonic significance of unconformable contacts at the base of Early Permian sequences, southern New England Fold Belt.|Australian Journal of Earth Sciences|37(1)|p43-49
41950|Aldam, R., Kuang, K.S.|1989|An investigation of structures controlling natural discharge of artesian waters in the southwestern Great Artesian Basin.|Geological Survey of South Australia, Quarterly Geological Notes|109|p2-9
41975|Withnall, I.W., Bain, J.H.C., Draper, J.J., Mackenzie, D.E., Oversby, B.S.|1988|Proterozoic stratigraphy and tectonic history of the Georgetown Inlier. northern Queensland.|Precambrian Research|40/41|p429-446
41978|Beardsmore, T.J., Newbery, S.P., Laing, W.P.|1988|The Maronan Supergroup: An inferred early volcanosedimentary rift sequence in the Mount Isa Inlier, and its implications for ensialic rifting in the Middle Proterozoic of northwest Queensland.|Precambrian Research|40/41|p487-507
41990|Brownlow, J.W., Brown, R.E.|1990|Industrial mineral and fossil fuel deposits of the Manilla and eastern Narrabri 1:250 000 sheets.|Geological Survey of New South Wales. Quarterly Notes|79|1v
41992|Hawlader, H.M.|1990|Diagenesis and reservoir potential of volcanogenic sandstones - Cretaceous of the Surat Basin, Australia.|Sedimentary Geology|66(3/4)|p181-195
41996|Clarke, J.D.A.|1989|Sedimentology of the Early Cambrian Bunkers Sandstone, eastern Flinders Ranges.|Geological Survey of South Australia, Quarterly Geological Notes|110|p2-11
41998|Lackie, M.A.|1988|The magnetic fabric of the Late Permian Dundee Ignimbrite, Dundee, N.S.W.|Exploration Geophysics|19(4)|p481-488
42000|Clarke, M.J.|1990|Late Palaeozoic (Tamarian; Late Carboniferous - Early Permian) cold-water brachiopods from Tasmania.|Alcheringa|14(1/2)|p53-76
42002|Pickett, J., Wu, W.-s.|1990|The succession of Early Carboniferous coral faunas in eastern Australia and China.|Alcheringa|14(1/2)|p89-108
42003|Henderson, R.A.|1990|Late Albian ammonites fron the Northern Territory, Australia.|Alcheringa|14(1/2)|p109-148
42006|Shackleton, W.G.|1989|Chemostratigraphy and chemostratigraphic units of part of the Cooper Basin, South Australia.|Geological Survey of South Australia, Quarterly Geological Notes|110|p21-26
42007|Hawlader, H.M.|1990|Reservoir properties of some Surat Basin sandstones as a function of diagenetic clay-mineral assemblage.|Queensland Government Mining Journal|91(1061)|p180-189
42008|Powis, G.D.|1989|Revision of Triassic stratigraphy at the Cooper Basin to Eromanga Basin transition. IN O'Neil B.J. (ed)- The Cooper and Eromanga Basins, Australia.|Petroleum Exploration Society of Australia, Soc. Petr. Eng., Aust. Soc. Expl. Geoph. (SA Branches)|1v|p265-277
42011|James, N.P., Gravestock, D.I.|1990|Lower Cambrian shelf and shelf margin buildups, Flinders Ranges, South Australia.|Sedimentology|37(3)|p455-480
42015|Talent, J.A.|1988|Dating diastrophism in the Devonian of eastern Australia: Biostratigraphic and biogeographic constraints. IN McMillan N.J., Embry A.F., Glass D.J. (eds) - Devonian of the world. Vol.2 Sedimentation.|Canadian Society of Petroleum Geologists, Memoir|14(2)|p313-320
42027|Tobisch, O.T., Paterson, S.R.|1990|The Yarra granite: An intradeformational pluton associated with ductile thrusting, Lachlan Fold Belt, southeastern Australia.|Geological Society of America. Bulletin|102(6)|p693-703
42028|DiBona, P.A., von der Borch, C.C., Christie-Blick, N.|1990|Sequence stratigraphy and evolution of a basin-slope succession: The Late Proterozoic Wonoka Formation, Flinders Ranges, South Australia.|Australian Journal of Earth Sciences|37(2)|p135-145
42029|Sun, X.|1990|Proetacean Trilobites from the Ludlow of the Yass Basin, New South Wales (Australia).|Geobios|23(1)|p95-103
42031|Jell, J.S.|1988|Lower and Middle Devonian of Queensland, Australia. IN McMillan N.J., Embry A.F., Glass D.J. (Eds.) - Devonian of the world. Vol. 1.|Canadian Society of Petroleum Geologists, Memoir|14(1)|p755-772
42032|Mawson, R., Talent, J.A., Bear, V.C., Benson, D.S., Brock, G.A., Farrell, J.R., Hyland, K.A., Pyemont, B.D., Sloan, T.R., Sorentino, L., Stewart, M.I., Trotter, J.A., Wilson, G.A., Simpson, A.G.|1988|Conodont data in relation to resolution of stage and zonal boundaries for the Devonian of Australia. IN McMillan N.J., Embry A.F., Glass D.J. (Eds.) - Devonian of the world. Vol. 3.|Canadian Society of Petroleum Geologists, Memoir|14(3)|p485-527
42033|Garratt, M.J., Wright, A.J.|1988|Late Silurian to Early Devonian biostratigraphy of southeastern Australia. IN McMillan N.J., Embry A.F., Glass D.J. (Eds.) - Devonian of the World. Vol. 3.|Canadian Society of Petroleum Geologists, Memoir|14(3)|p647-p662
42035|Taylor, G., Gasse, F., Walker, P.H., Morgan, P.J.|1990|The palaeoecological and palaeoclimatic significance of Miocene freshwater diatomite deposits from southern New South Wales, Australia.|Palaeogeography, Palaeoclimatology, Palaeoecology|77(2)|p127-143
42041|Finlayson, D.M., Wake-Dyster, K.D., Leven, J.H., Johnstone, D.W., Murray, C.G., Harrington, H.J., Korsch, R.J., Wellman, P.|1990|Seismic imaging of major tectonic features in the crust of Phanerozoic eastern Australia. IN Leven J.H., Finlayson D.M. , Wright C., Dooley J.C., Kennett B.L.N. (Eds.) - Seismic probing of continents and their margins.|Tectonophysics|173(1-4)|p211-230
