Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Canberra Formation|3447|Canberra Group|3450|||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Wenlock||||Llandovery|||||1000|ACT|Yes|36633|42820|Abell, R.S. (after Henderson, G.A.M., after Opik 1958)|29/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin 233. Draft definition card by Henderson 1978, approved definition by Abell 1990.|Mudstone, siltstone, minor sandstone, limestone, hornfels, dacitic ignimbrite volcaniclastic sediments, minor agglomerate and ashstone.|sedimentary siliciclastic|igneous felsic volcanic||N|
Cappanana Formation|3554|Cappanana beds|24819|||Yes|Formation, beds|Formal|Variation of published name|Defined|Bredbo Group|21321|||Ludlow||||Late Silurian|||||700|NSW|No|32820|42820|||||Also Defined in 00/30545.|Siltstone, shale, sandstone, limestone and minor volcanics, tuff, quartzite, minor limestone, calc-silicate hornfels.|sedimentary siliciclastic|sedimentary carbonate||N|
Captains Flat Formation|3563|Captains Flat Beds|3562|||Yes|Formation, beds|Formal|Variation of published name|Defined|Hoskinstown Group|8512|||Late Silurian||||Late Silurian|||||1200|NSW|Yes|43472|42820||||||Shale, siltstone, acid and basic volcanic flows and tuff; minor basalt and basaltic breccia, dacite and rhyodacite, lithic tuff and minor shale and conglomerate, volcanic chert.|argillaceous detrital sediment|igneous volcanic||N|
Carwoola Formation|3716|Carwoola Beds|3715|||Yes|Formation, beds|Formal|Variation of published name|Defined|Hoskinstown Group|8512|||Late Silurian||||Late Silurian|||||1200|NSW|Yes|32820|42820|Abell, R.S. (after Richardson, 1979)|02/APR/07||||Sandstone, siltstone, shale|sedimentary siliciclastic|||N|
Cavan Bluff Limestone|3824|Cavan Formation|3826|||Yes|Formation, beds|Formal|Variation of published name|Fully described|Murrumbidgee Group|27854|||Pragian||||Pragian|||||||No|43527||||||Same unit as variations - Cavan Limestone and Cavan Formation.|Limestone, shaly limestone, shale.|sedimentary carbonate|||N|
Clear Range Granodiorite|4128|||||Yes|Formation, beds|Formal|Other new published name|Defined|||Clear Range Suite|31567|Late Silurian||||Late Silurian||||||NSW|No|45003|36413||||||Xenolith-rich granodiorite, muscovite biotite granodiorite to tonalite|igneous felsic intrusive|||Y|S-type
Clear Range Suite|31567|||||Yes|Group, Suite|Formal|Variation of published name|Briefly described|||Bullenbalong Supersuite|2897|Early Devonian||||Silurian|||||||No|42726|||||||Granite, granodiorite and tonalite|igneous felsic intrusive|||Y|
Cliftonwood Limestone Member|4165|Cliftonwood Limestone|4167|||Yes|Member, phase|Formal|Variation of published name|Described|Yass Formation|20908|||Wenlock||||Wenlock|||||65||No|38035||||||Interbedded with the O'Briens Creek Sandstone Member within the Yass Formation.|Grey limestone in mudstone breccia, clast-supported, pebbles of crystalline fossiliferous limestone within a dark-grey limey fossiliferous mudstone (spiriferids, gastropods, corals).|sedimentary carbonate|||N|
Colinton Volcanics|4334|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|Bredbo Group|21321|||Late Silurian|418|||Ludlow|||||4000|ACT|Yes|12185|42820|||||Also defined and thickness stated thickness as 700m in 00/30545. Ngunawal Basin.  Includes part of  the former "Bransby Beds" of Richardson (1979).|Rhyolitic to rhyodacitic crystal and lithic tuff, minor siltstone, sandstone, and limestone; dacite, andesite, rhyolite, tuff, limestone|igneous felsic volcanic|||N|
Copper Creek Shale|4677|Copper Creek Beds|4676|||Yes|Formation, beds|Formal|Variation of published name|Defined|Hoskinstown Group|8512|||Late Silurian||||Late Silurian|||||150|ACT|Yes|12185|42820||||||Dark grey shale and siltstone, arenite beds near base; minor limestone; contains corals.|sedimentary siliciclastic|||N|
