Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Uriarra Volcanics|18992|Uriarra volcanics|18993|||Yes|Formation, beds|Formal|Other new published name|Defined|||Laidlaw Volcanic Suite|10023|Late Silurian||||Early Silurian||||||NSW|No|34405|45147||||||Dark grey to pink rhyodacite ignimbrite and air-fall tuff, fine-grained bedded ashstone|igneous felsic volcanic|||N|
Walker Volcanics|19240|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|Douro Group|5668|Hawkins Suite|8179|Early Silurian||||Early Silurian|||||1500|ACT|No|36441|42820||||||Green to purple dacite ignimbrite and bedded tuff, minor andesite, volcaniclastic sediment and limestone; calcareous and tuffaceous shale and siltstone|igneous felsic volcanic|||N|
Wallace Shale|19257|||||Yes|Formation, beds|Formal|Other new published name|Fully described|Mumbil Group|13411|||Pridoli||||Pridoli|||||450||No|43385||||||Previously part of the Gamboola Formation.|Red and green shale, rare arenite; allochthonous megaclasts.||||N|
War Memorial Agglomerate|19431|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|41356|||||||||||N|
Williamsdale Dacite Member|20085|Williamsdale Volcanics|26217|||Yes|Member, phase|Formal|Variation of published name|Defined|Colinton Volcanics|4334|||Late Silurian||||Late Silurian||||||ACT|Yes|49690||||||Essentially a redefinition of Richardson's Williamsdale Volcanics.|Massive rhyodacitic tuff to dacitic ignimbrite, minor rhyolitic intrusions|igneous felsic volcanic|||N|
Willow Bridge Tuff|20116|||||Yes|Member, phase|Formal|Variation of published name|Fully described|Laidlaw Formation|10016|||Late Silurian||||Late Silurian|||||||No|32675|||||||||||N|
Woodlawn Volcanics|20516|Woodlawn volcanics|20519|||Yes|Formation, beds|Formal|Resvd name published|Defined|Mount Fairy Group|26052|||Lochkovian|419|3.2|isotopic, U/Pb-Pb/Pb ion probe|Pridoli|423.3|2.6|isotopic, U/Pb-Pb/Pb ion probe||1000|NSW|Yes|30730||Felton E.A.||Bryan, J.H.|27/OCT/75|Age is indistinguishable from Ellenden Granite and leucogranite phase of Lockhart Igneous Complex, but younger than the tonalite phase of Lockhart Igneous Complex.|Lithic tuff, acid flows, ignimbrite, agglomerate, chert and minor sediments.|igneous felsic volcanic|||N|
Yarralumla Formation|20879|||||Yes|Formation, beds|Formal|Other new published name|Defined|Douro Group|5668|Laidlaw Volcanic Suite|10023|Ludlow||||Ludlow||||100|300|ACT|Yes|43385|42820|Abell, R.S. (after Opik 1958)|29/OCT/90|||BMR Bulletin 233. Approved by A. Waltho 17-MAY-1990? Included in the Laidlaw Volcanic Suite for stratigraphic relations with Deakin Volcanics. Geol Survey NSW has included it within the Douro Group (Yass area). Formerly included in 'Red Hill Group' of Opik.|Calcareous and tuffaceous mudstone and siltstone with minor limestone, calc-silicate hornfels and quartz sandstone|argillaceous detrital sediment|||N|
Yarwood Siltstone Member|20902|Yarwood siltstone member|20904|||Yes|Member, phase|Formal|Other new published name|Fully described|Black Bog Shale|1776|||Ludlow||||Ludlow|||||33.5||No|31852||||||Also formerly known as the "Lower Trilobite bed".|Fossiliferous mudstone, shale, siltstone.||||N|
Yass Formation|20908|Yass Subgroup|20917|||Yes|Formation, beds|Formal|Variation of published name|Defined|Douro Group|5668|Laidlaw Volcanic Suite|10023|Ludlow||||Wenlock|||||320|ACT|No|43479|42820||||||Fine grained tuffaceous sandstone and siltstone with interbedded limestone and mudstone horizons|sedimentary siliciclastic|sedimentary carbonate||N|
felsic intrusives 42189|42189|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Triassic||||Permian|||||||No|||||||Lithology referring to an unnamed unit to be used for Australian 1:1 million geological map, National Maps Project.|Felsic intrusive rocks; including tonalite, diorite, granodiorite, granite, monzogranite, rhyolite, microgranodiorite|igneous felsic intrusive|||N|
