Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
24886|Cowrie Siltstone|underlies|1824|Black River Dolomite|unconformity|
4898|Crimson Creek Formation|overlies|1824|Black River Dolomite|conformity|
34163|Kanunnah Subgroup|overlies|1824|Black River Dolomite|not specified|
7107|Gellibrand Marl|underlies|1832|Black Rock Sandstone||
1115|Barn Bluff Conglomerate|overlies|2022|Bluff River Formation|not specified|
5105|Cygnet Coal Measures|overlies|2080|Bogan Gap Group|not specified|
7001|Garcia Sandstone|underlies|2080|Bogan Gap Group|conformity|
15348|Poatina Group|underlies|2080|Bogan Gap Group|not specified|
74594|Shower Droplet Volcanics|underlies|74596|Bold Head Volcanics|not specified|
26514|Darlington Limestone|underlies|23412|Boullanger Formation||
23975|Skipping Ridge Formation|overlies|23412|Boullanger Formation|conformity|
74646|Yarra Creek Shale|is equivalent to|28396|Brachina Formation||
26942|Tiers Formation|underlies|2474|Brady Formation|not specified|
6602|Fernfields Formation|overlies|2528|Brewery Junction Formation|not specified|
19858|Whalers Bluff Formation|underlies|2543|Bridgewater Formation|not specified|
27267|Deep Bay Formation|overlies|2985|Bundella Mudstone|unconformity|
29207|Hickman Formation|overlies|2985|Bundella Mudstone|not specified|
20535|Woody Island Siltstone|underlies|2985|Bundella Mudstone|conformity|
18067|Thompson Formation|overlies|40003|Calstock Formation|conformity|
7107|Gellibrand Marl|underlies|21425|Camelback Member|not specified|
11637|Memana Formation|overlies|3396|Cameron Inlet Formation|not specified|
9290|Karmberg Limestone|underlies|3738|Cashions Creek Limestone|not specified|
78543|Emmetts Creek Shale|overlies|78542|Cassiterite Creek Quartzite|conformity|
78545|Skinners Flat Siltstone|underlies|78542|Cassiterite Creek Quartzite|conformity|abruptly
6363|Eumeralla Formation|overlies|3744|Casterton Formation|not specified|
26529|Dundas Group|overlies|3868|Central Volcanic Complex|not specified|
30225|Mount Charter Group|overlies|3868|Central Volcanic Complex|not specified|
18756|Tyndall Group|overlies|3868|Central Volcanic Complex|unconformity|
25620|White Spur Formation|overlies|3868|Central Volcanic Complex|not specified|
27768|Eldon Group|overlies|4059|Chudleigh Subgroup|not specified|
11014|Magog Subgroup|underlies|4059|Chudleigh Subgroup|not specified|
23917|Pontoon Hill Siltstone Member|overlies|23488|Churchill Sandstone Member|not specified|
28236|Tim Shea Sandstone|underlies|23488|Churchill Sandstone Member|not specified|
74594|Shower Droplet Volcanics|overlies|74595|City of Melbourne Volcanics|disconformity|
74646|Yarra Creek Shale|underlies|74595|City of Melbourne Volcanics|conformity|
13904|Narrawaturk Marl|underlies|4157|Clifton Formation|disconformity|
7107|Gellibrand Marl|overlies|73495|Clifton Springs Tuff||
6606|Fernflow Formation|underlies|4170|Climie Formation|conformity|
11968|Misery Conglomerate|overlies|4170|Climie Formation|conformity|
11778|Middle Arm Group|underlies|26482|Clog Tom Sandstone|not specified|
27558|Ross Sandstone|underlies|4189|Cluan Formation|conformity|
26942|Tiers Formation|overlies|4189|Cluan Formation|conformity|
24587|Wurawina Supergroup|overlies|23491|Clytie Cove Group|not specified|
14685|Otway Group|overlies|41194|Coleraine Volcanic Group|disconformity|
6602|Fernfields Formation|underlies|4392|Comet Slate|not specified|
6606|Fernflow Formation|overlies|4392|Comet Slate|not specified|
13057|Mount Read Volcanics|underlies|4408|Comstock Formation|unconformity|
29475|Zig Zag Hill Formation|overlies|4408|Comstock Formation|conformity|
19858|Whalers Bluff Formation|underlies|4583|Coomandook Formation|not specified|
6363|Eumeralla Formation|underlies|4665|Copa Formation|unconformity|
1513|Bernafai Volcanics|underlies|40070|Corinna Dolomite|not specified|
36134|Tunnelrace Volcanics|overlies|40070|Corinna Dolomite|not specified|
73337|Johnston Creek Siltstone|overlies|37828|Corn Hill Formation|unconformity|
74645|Cumberland Creek Dolostone|overlies|4781|Cottons Breccia|disconformity|
27555|Rocky Cape Group|underlies|4781|Cottons Breccia|unconformity|
23769|Marra Formation|overlies|23515|Counsel Creek Formation|conformity|
23975|Skipping Ridge Formation|underlies|23515|Counsel Creek Formation|conformity|
1824|Black River Dolomite|overlies|24886|Cowrie Siltstone|unconformity|
