Reference Id | Author | Year | Title | Source | Vol/Part | Pages
23240|Abele, C.|1988|Western District - Torquay-Anglesea-Aireys Inlet. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 11(2)|pp119-131
23241|Medwell, G.J.|1988|Western District - Otway Ranges. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 11(3)|pp133-156
23242|Joyce, E.B.|1988|Western District - Colac-Camperdown. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 11(4)|pp157-167
23243|Marsden, M.A.H.|1988|Western District - Bellarine Peninsula. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 11(5)|pp169-179
23245|Scheibner, E., Basden, H. (ed.)|1998|Part 6(15). Cambrian-Early Silurian. In: Geology of New South Wales - Synthesis.|Geological Survey of New South Wales. Memoir (Geology)|13(2)|p103-139
23249|Gallagher, S.J., Jonasson, K., Holdgate, G.|1999|Foraminiferal biofacies and palaeoenvironmental evolution of an Oligo-Miocene cool-water carbonate succession in the Otway Basin, Southeast Australia|Journal of Micropalaeontology|18/2|p143-168
23267|Webb, J.|1988|Melbourne Trough-Western Side - Studley Park and Royal Park. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 14(1)|pp373-386
23307|VandenBerg, A.H.M.|1999|Victoria 1:1 000 000 Geology|Geological Survey of Victoria|Map|Map Legend
23309|VandenBerg, A.H.M., Willman, C.E., Maher, S., Simons, B.A., Cayley, R.A., Taylor, D.H., Morand, V.J., Moore, D.H., Radojkovic, A.|2000|The Tasman Fold Belt System in Victoria|Geological Survey of Victoria. Special Publication|1v|462p
23314|Grey, K., Blake, D.H.|1999|Neoproterozoic (Cryogenian) stromatolites from the Wolfe Basin, east Kimberley, Western Australia: correlation with the Centralian Superbasin|Australian Journal of Earth Sciences|46(3)|p329-341
23322|McGowran, B., Li, Q., White, M.R.|2000|Sequence and biofacies packages in the mid-Cenozoic Gambier Limestone, South Australia, reappraisal of foraminiferal evidence.|Australian Journal of Earth Sciences|47(6)|p 955-970
23326|Meffre, S., Berry, R.F., Hall, M.|2000|Cambrian metamorphic complexes in Tasmania: tectonic implications.|Australian Journal of Earth Sciences|47(6)|p971-985
23356|Longley, I.M., Bradshaw, M.T., Hebberger, J.|2000|Australian petroleum provinces of the 21st century.|PESA Journal|28|p21-42
23357|Das, P.K., Lemon, N.|2000|Flat spot anomaly: Possible gas sands in the NSW Bass Basin?|PESA Journal|28|p51-57
23370|New South Wales. Dept. Mineral Resources|2001|New Broken Hill Exploration Seeks Copper-Gold|New South Wales. Department of Mineral Resources. Minfo|69|p27
23372|Lennon, R.G., Suttill, R.J., Guthrie, D.A., Waldron, A.R.|1999|The renewed search for oil and gas in the Bass Basin: results of Yolla-2 and White Ibis-1|APPEA Journal|39(1)|p248-262
23402|Stuart-Smith, P.G., Black, L.P.|1999|Willaura, Sheet 7422, Victoria, 1:100 000 Map Geological Report|Australian Geological Survey Organisation, Record|1999/38|50p
23417|Dahlhaus, P.G., Macewan, R.J., Nathan, E.L., Morand, V.J.|2000|Salinity on the southeastern Dundas Tableland, Victoria|Australian Journal of Earth Sciences|47(1)|p3-11
23427|Wellman, P., Struckmeyer, H.I.M., Symonds, P.A., Fellows, M.E., Scott, D.L., Draper, J.J.|1997|Coral Sea Region. IN 'North Queensland Geology' Bain J.H.C. and Draper J.J. (eds)|Australian Geological Survey Organisation Bulletin/Queensland Department of Mines and Energy Qld Geo|204/9|p409-418
