Reference Id | Author | Year | Title | Source | Vol/Part | Pages
48908|Gibb, R.A.|1968|North Eromanga and Drummond Basins gravity surveys, Queensland 1959-1963|Bureau of Mineral Resources, Australia, Report|131|p1-64
48914|Wyatt, D.H., Paine, A.G.L., Clarke, D.E., Gregory, C.M., Harding, R.R.|1971|Geology of the Charters Towers 1:250 000 Sheet area.|Bureau of Mineral Resources, Australia, Report|137|
48915|Darby, F.|1969|North Bowen Basin gravity survey, Queensland 1963.|Bureau of Mineral Resources, Australia, Report|138|
48917|Exon, N.F., Reiser, R.F., Casey, D.J., Brunker, R.L.|1974|The post-Palaeozoic rocks of the Warwick 1:250 000 Sheet area, Queensland and New South Wales.|Bureau of Mineral Resources, Australia, Report|140|
48919|Mollan, R.G., Forbes, V.R., Jensen, A.R., Exon, N.F., Gregory, C.M.|1972|Geology of the Eddystone, Taroom and western part of the Mundubbera Sheet areas, Queensland.|Bureau of Mineral Resources, Australia, Report|142|1-137
48920|Exon, N.F., Galloway, M.C., Casey, D.J., Kirkegaard, A.G.|1972|Geology of the Tambo/Augathella area, Queensland.|Bureau of Mineral Resources, Australia, Report|143|
48921|Clarke, D.E., Paine, A.G.L., Jensen, A.R.|1971|Geology of the Proserpine 1:250 000 Sheet area, Queensland.|Bureau of Mineral Resources, Australia, Report|144|
48922|Paine, A.G.L., Clarke, D.E., Gregory, C.M.|1974|Geology of northern half of the Bowen 1:250 000 Sheet area, Queensland (with additions to the geology of the southern half).|Bureau of Mineral Resources, Australia, Report|145|
48924|Philip, G.M.|1971|Catalogue of type and figured specimens in the palaeontological collection of the Department of Geology, University of New England, Armidale, N.S.W.|Bureau of Mineral Resources, Australia, Report|147|
48925|Crespin, I.|1971|Catalogue of additional type and figured specimens of Protista (Foraminifera, Radiolaria, and Tintinnia) in the Commonwealth Palaeontological Collection, Canberra.|Bureau of Mineral Resources, Australia, Report|148|
48926|Foldvary, G.Z., Sanderson, J.L.|1972|Catalogue of palaeontological type specimens located in the Department of Geology and Geophysics, University of Sydney.|Bureau of Mineral Resources, Australia, Report|149|
