Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
8569|Hume Limestone Member|overlies|26371|Barrandella Shale Member|not specified|
37334|Hazeldene Sandstone|overlies|35611|Barrat Formation|not specified|
27517|Naradhan Sandstone|overlies|35611|Barrat Formation|not specified|
25474|Shepparton Formation|overlies|1227|Barwo Member|not specified|
25474|Shepparton Formation|underlies|1227|Barwo Member|not specified|
20135|Willyama Supergroup|is intruded by|35879|Basso Suite||
845|Back Creek Group|overlies|23365|Bathampton Metamorphics|not specified|
24694|Barnby Hills Shale|underlies|1282|Bay Formation|conformity|
5031|Cunningham Formation|overlies|1282|Bay Formation|conformity|
24186|Black Mountain Sandstone|underlies|1299|Baywulla Formation|not specified|
13778|Nangar Subgroup|overlies|1321|Beargamil Subgroup||
4847|Cranky Corner Sandstone|overlies|1347|Beckers Formation|not specified|
29042|Tamby Creek Formation|underlies|1347|Beckers Formation|unconformity|
13896|Narragal Limestone|overlies|30910|Bell River Member|unconformity|
30528|Warderie Volcanic Member|underlies|30910|Bell River Member|unconformity|
4444|Conjola Subgroup|overlies|1423|Bellbird Creek Formation|not specified|
18746|Twofold Bay Formation|underlies|1423|Bellbird Creek Formation|not specified|
20623|Worange Point Formation|overlies|1423|Bellbird Creek Formation||
29046|Tanwarra Shale|underlies|24709|Bells Creek Volcanics|conformity|
6550|Fassifern Coal|overlies|1433|Belmont Conglomerate|not specified|
25590|Wambangalong Formation|underlies|24178|Belowrie Formation|conformity|
27000|Whylandra Formation|overlies|24178|Belowrie Formation|conformity|
6862|Fossil Hill Limestone|underlies|1444|Belubula Limestone|not specified|
27304|Vandon Limestone|overlies|1444|Belubula Limestone|not specified|
7161|Ghost Hill Formation|underlies|1445|Belubula Shale|not specified|
20623|Worange Point Formation|underlies|1451|Ben Boyd Formation|not specified|
20135|Willyama Supergroup|underlies|21228|Benagerie Volcanics|not specified|
5292|De Drack Formation|overlies|1466|Bendethera Limestone Member|not specified|
5292|De Drack Formation|underlies|1466|Bendethera Limestone Member|not specified|
