Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
2543|Bridgewater Formation|overlies|3506|Cape Jervis Formation|unconformity|
28634|Kanmantoo Group|underlies|3506|Cape Jervis Formation|not specified|
18976|Urana Formation|is equivalent to|3506|Cape Jervis Formation||
76919|Thorpdale Volcanic Group|is equivalent to|76936|Carrajung Volcanic Group||but Thorpdale may be younger
34838|Attunga Paringa Formation|underlies|34872|Carriage Range Ignimbrite|not specified|
34871|Tin Pot Ignimbrite|overlies|34872|Carriage Range Ignimbrite|not specified|
28634|Kanmantoo Group|overlies|25836|Carrickalinga Head Formation|not specified|
26184|Truro Volcanics|underlies|25836|Carrickalinga Head Formation|not specified|
30548|Fairy Sandstone|overlies|21462|Carson Creek Ignimbrite|conformity|
4874|Crayfish Subgroup|overlies|3744|Casterton Formation|unconformity|
6363|Eumeralla Formation|overlies|3744|Casterton Formation|not specified|
15555|Pretty Hill Formation|overlies|3744|Casterton Formation||
2688|Browns Creek Clay|underlies|3753|Castle Cove Limestone|not specified|
7328|Glen Aire Clay|overlies|3753|Castle Cove Limestone|not specified|
3322|Calivil Formation|overlies|36202|Castlemaine Group|unconformity|
7511|Goldie Chert|underlies|36202|Castlemaine Group|not specified|
68647|Heathcote Volcanic Group|underlies|36202|Castlemaine Group||
32495|Knowsley East Shale|underlies|36202|Castlemaine Group|not specified|
23952|Saint Arnaud Group|underlies|36202|Castlemaine Group|not specified|
19893|White Hills Gravel|overlies|36202|Castlemaine Group|not specified|
11424|Marysville Igneous Complex|overlies|3787|Cathedral Group|unconformity|
26039|Montys Hut Formation|underlies|3787|Cathedral Group|not specified|
19233|Walhalla Group|underlies|3787|Cathedral Group|conformity|
68536|Puebla Clay Member|underlies|34113|Cellepora Beds|conformity|
21079|Zeally Limestone|overlies|34113|Cellepora Beds|conformity|
8154|Haunted Hills Gravel|overlies|25842|Childers Formation|not specified|
12392|Morwell Formation|overlies|25842|Childers Formation|not specified|
17440|Strzelecki Group|underlies|25842|Childers Formation|not specified|
32308|Kipper Shale|underlies|32309|Chimaera Formation|not specified|
34122|Bylands Siltstone|overlies|28232|Chintin Formation|not specified|
8794|Irymple Member|is equivalent to|75110|Chowilla Sand Member||
8858|Jan Juc Marl|is equivalent to|4157|Clifton Formation||
13904|Narrawaturk Marl|underlies|4157|Clifton Formation|disconformity|
15365|Point Addis Limestone|is equivalent to|4157|Clifton Formation||
7107|Gellibrand Marl|overlies|73495|Clifton Springs Tuff||
73494|Murraduc Basalt|underlies|73495|Clifton Springs Tuff||
35960|Avon Supergroup|overlies|32459|Cobbannah Group|unconformity|
1474|Bendoc Group|underlies|32459|Cobbannah Group|not specified|
23907|Pinnak Sandstone|underlies|32459|Cobbannah Group||
35139|Ryans Creek Ignimbrite|overlies|37535|Cobbler Rhyolite|not specified|
68447|Staircase Ignimbrite|overlies|37535|Cobbler Rhyolite|conformity|
25474|Shepparton Formation|underlies|4268|Cobram Sand|unconformity|
839|Bacchus Marsh Formation|underlies|41194|Coleraine Volcanic Group|disconformity|
7400|Glenelg River Metamorphic Complex|underlies|41194|Coleraine Volcanic Group|unconformity|
37236|Hassall Creek Granodiorite|underlies|41194|Coleraine Volcanic Group|not specified|
14685|Otway Group|overlies|41194|Coleraine Volcanic Group|disconformity|
3322|Calivil Formation|underlies|32062|Coliban Basalt|not specified|
25474|Shepparton Formation|overlies|32062|Coliban Basalt|not specified|
19893|White Hills Gravel|underlies|32062|Coliban Basalt|disconformity|
