Reference Id | Author | Year | Title | Source | Vol/Part | Pages
50157|Morand, V.J., Wohlt, K.E.|2003|Dergholm and part of Penola 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50158|Cayley, R.A., Taylor, D.H., Morand, V.J., Wohlt, K.E., Kemp, A.I.S.|2003|Dundas and part of Wannon 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50159|Cayley, R.A., Wohlt, K.E., Morand, V.J., Taylor, D.H.|2003|Balmoral 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50160|Taylor, D.H., Wohlt, K.E., Cayley, R.A., Kemp, A.I.S., Morand, V.J.|2003|Edenhope 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50161|Wohlt, K.E., Kemp, A.I.S., Taylor, D.H., Cayley, R.A., Morand, V.J.|2003|Nareen and part of Coleraine 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50162|Morand, V.J., Kemp, A.I.S., Taylor, D.H., Cayley, R.A.|2003|Harrow 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50163|Wohlt, K.E., Morand, V.J.|2003|Langkoop and part of Struan 1:50 000 geological map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50164|Simons, B.A., Magart, A.P.M., Wohlt, K.E., Morand, V.J.|2003|Edenhope and parts of Casterton and Penola 1:100 000 geological interpretation of geophysical features map IN Morand, V.J. et al "Glenelg Special Map Area - geological report"|Geological Survey of Victoria. Report|123|Map
50190|Blake, P.R., Hayward, M.A., Simpson, G.A., Osborne, J.H., Murray, C.G.|1996|Review of Mineral Exploration within the Biloela (9049), Calliope (9149), Monto (9148) and Scoria (9048) 1:100 000 Sheet Areas, Central Queensland.|Queensland Geological Record|1996/12|88p
50199|Dept. Natural Resources and Mines, Qld., Withnall, I.W., Blight, R.K.J.|2003|Forsayth, Queensland 1:100 000 geological map, sheet 7660, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50214|Withnall, I.W., Nieuwenburg, A., Roberts, C.W.|2001|Scoria Queensland 1:100 000 Sheet 9048, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50219|Sheppard, S., Occhipinti, S.A., Tyler, I.M.|2004|A 2005-1970 Ma Andean-type batholith in the southern Gascoyne Complex, Western Australia|Precambrian Research|128(3-4)|p257-277
