Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
198|Ajax Limestone|underlies|1645|Billy Creek Formation|not specified|
8159|Hawker Group|underlies|1645|Billy Creek Formation|unconformity|
12300|Moorowie Formation|underlies|1645|Billy Creek Formation|unconformity|
13858|Narina Greywacke|underlies|1645|Billy Creek Formation|not specified|
14640|Oraparinna Shale|underlies|1645|Billy Creek Formation||
20045|Wilkawillina Limestone|underlies|1645|Billy Creek Formation|unconformity|
20300|Wirrealpa Limestone|overlies|1645|Billy Creek Formation|not specified|
35883|Ethiudna Subgroup|underlies|29887|Bimba Formation|not specified|
37091|Plumbago Formation|overlies|29887|Bimba Formation|not specified|
143|Adori Sandstone|overlies|1729|Birkhead Formation|not specified|
8610|Hutton Sandstone|underlies|1729|Birkhead Formation|conformity|
19796|Westbourne Formation|overlies|1729|Birkhead Formation|not specified|
571|Areyonga Formation|overlies|1758|Bitter Springs Formation|not specified|
5300|Dean Quartzite|underlies|1758|Bitter Springs Formation|not specified|
8225|Heavitree Quartzite|underlies|1758|Bitter Springs Formation|not specified|
7107|Gellibrand Marl|underlies|1832|Black Rock Sandstone||
25843|Chinaman Gully Formation|overlies|1901|Blanche Point Formation|disconformity|
13402|Muloowurtie Formation|underlies|1901|Blanche Point Formation||
18473|Tortachilla Limestone|underlies|1901|Blanche Point Formation|unconformity|
3026|Bungunnia Limestone|overlies|1918|Blanchetown Clay|not specified|
4042|Chowilla Sand|is interbedded with|1918|Blanchetown Clay||
9299|Karoonda Surface|underlies|1918|Blanchetown Clay|not specified|
12109|Monoman Formation|overlies|1918|Blanchetown Clay|not specified|
25474|Shepparton Formation|overlies|1918|Blanchetown Clay|not specified|
20618|Woorinen Formation|overlies|1918|Blanchetown Clay|not specified|
1758|Bitter Springs Formation|overlies|1931|Blatherskite Quartzite Member|conformity|
10980|Madigan Inlet Member|underlies|26403|Blowhole Creek Siltstone Member|not specified|
8684|Indulkana Shale|underlies|1988|Blue Hills Sandstone|conformity|
34768|Mimili Formation|overlies|1988|Blue Hills Sandstone|unconformity|
8561|Humanity Seat Formation|underlies|25795|Blue Mine Conglomerate|not specified|
20524|Woodnamoka Phyllite|underlies|25795|Blue Mine Conglomerate|not specified|
27751|Corunna Conglomerate|is equivalent to|24737|Blue Range beds||
