basin,formation,lithology1,lithology2,environment1,environment2,source,notes,name
,Cataract River,,,,,,superseded,
Bowen,Catherine,sandstone,siltstone,prograding shelf,nearshore marine,"Fielding1993,Jones2006",,
Emerald,Catherine,sandstone,siltstone,prograding shelf,nearshore marine,"Fielding1993,Jones2006",,
Springsure,Catherine,sandstone,,prograding shelf,nearshore marine,"Fielding1993,Jones2006",,
Bowen,Cattle Creek,sandstone,mudstone,delta,nearshore marine,"Fielding1993,Jones2006",,
Eddystone,Cattle Creek,conglomerate,siltstone,delta,nearshore marine,"Fielding1993,Jones2006",,
Springsure,Cattle Creek,siltstone,mudstone,delta,nearshore marine,"Fielding1993,Jones2006",,
Tamworth-Hastings,Cedar Part,diamictite,conglomerate,,,,,
Moreton,Cedarton,volcaniclastic,sandstone,,,,,
Mundubbera,Cheltenham Creek,adamellite,,,,,,
Maryborough,Chowey,granite,,,,,,
Ulladulla,Clyde,siltstone,sandstone,alluvial valley fill,nearshore marine,Fielding2006,,
Bowen,Colinlea,sandstone,conglomerate,,,,,
Emerald,Colinlea,sandstone,conglomerate,,,,,
Jericho,Colinlea,sandstone,siltstone,,,,,
Springsure,Colinlea,sandstone,siltstone,,,,,
Tambo,Colinlea,sandstone,conglomerate,,,,,
Bowen,Collinsville,sandstone,conglomerate,,,,,
Bowen,Collinsville,sandstone,conglomerate,,,,,
Mount Coolon,Collinsville,mudstone,siltstone,,,,,
Tamworth-Hastings,Colraine,diamictite,conglomerate,,,,,
Dorrigo,Comara,siltstone,sandstone,,,,,
Tamworth,Condadilly,shale,sandstone,,,,,
Moreton,Condamine,mudstone,tuff,,,,,
Warwick-Tweedheads,Condamine,mudstone,tuff,,,,,
Wollongong,Conjola,conglomerate,sandstone,,,,,
,Coolkilya,wackestone,siltstone,shoreface,,"Lever2004, AGGA",,
,Coolkilya Greywacke,wackestone,siltstone,shoreface,,"Lever2004, AGGA",superseded,
Grafton-Maclean,Coombadjha,dacite,quartz,,,,,
Mundubbera,Coonambula,diorite,adamellite,,,,,
,Cordalia,sandstone,,prodelta,marine shelf,"Lever2004, AGGA",,
Monto,Cottenham,arenite,siltstone,,,,,
,Coyrie,shale,siltstone,shoreface,offshore marine,"Lever2004, AGGA",,
Tamworth-Hastings,Crescent Head,sandstone,siltstone,,,,,
Moreton,Cressbrook Creek,mudstone,shale,,,,,
Bowen,Crocker,sandstone,siltstone,,,,,
Moreton,Crows Nest,granite,adamellite,,,,,
Mundubbera,Crystal Vale,adamellite,,,,,,
Mundubbera,Culcraigie,granite,,,,,,
Wollongong,Cumberland,shale,sandstone,,,,,
,Cuncudgerie,siltstone,sandstone,,,AGGA,obsolete,Poole
,Cundlego,wackestone,siltstone,shoreface,offshore marine,"Lever2004, AGGA",,
,Dabool,sandstone,,,,AGGA,,
Singleton,Dalwood,sandstone,mudstone,,,,,
Wollongong,Dapto-Saddleback,latite,,,,,,
Dorrigo,Dardanelles,mudstone,sandstone,,,,,
,Darlington,calcirudite,siltstone,nearshore marine,,"Reid2010, AGGA",,
,Deep Bay,mudstone,siltstone,lower shoreface-offshore transition,offshore marine,AGGA,,
Mundubbera,Delubra,gabbro,,,,,,
Sydney,Dempsey,siltstone,sandstone,delta plain,marine shelf,map,,
,Dilly,,,,,,,
Rockhampton,Dinner Creek,conglomerate,arenite,,,,,
Port Clinton,Double Mountain,tuff,agglomerate,,,,,
Grafton-Maclean,Drake,dacite,tuff,,,,,
Moreton,Drake,volcanics,sandstone,,,,,
Warwick-Tweedheads,Drake,dacite,tuff,,,,,
Dorrigo,Dummy Creek,conglomerate,sandstone,,,,,
Grafton-Maclean,Dundee,rhyolite,ignimbrite,,,,,
Moreton,Dundee,adamellite,porphyry,,,,,
Dubbo,Dunedoo,sandstone,conglomerate,,,,,
Dorrigo,Dyamberin,wackestone,siltstone,,,,,
Mundubbera,Eidsvold,granite,diorite,,,,,
Moreton,Eight Mile Creek,conglomerate,sandstone,,,,,
Warwick-Tweedheads,Eight Mile Creek,pyroclastics,sandstone,,,,,
,Elderslie,siltstone,,,,AGGA,,
Grafton-Maclean,Emmaville,rhyolite,dacite,,,,,
Inverell,Emmaville,rhyolite,dacite,,,,,
Moreton,Emu Creek,sandstone,mudstone,,,,,
,Enstone Park,,,,,,,
Moreton,Eskdale,diorite,,,,,,
Rockhampton,Eulogie Park,gabbro,tractolite,,,,,
Warwick-Tweedheads,Eurydesma,conglomerate,sandstone,,,,,
Moreton,Eurydesma/Wallaby,conglomerate,sandstone,,,,,
Bowen,Exmoor,sandstone,siltstone,,,,,
Mount Coolon,Exmoor,sandstone,siltstone,,,,,
Moreton,Fahey Range,volcanics,,,,,,
Singleton,Fahey Range,mudstone,sandstone,,,,,
Bowen,Fair Hill,sandstone,siltstone,,,,,
Duaringa,Fair Hill,sandstone,sandstone,,,,,
Emerald,Fair Hill,sandstone,conglomerate,,,,,
Sydney,Farley,siltstone,sandstone,delta plain,delta front,map,,
Sydney,Fenestrella Shale,sandstone,siltstone,fan delta,marine shelf,map,,
,Ferntree,mudstone,siltstone,,,AGGA,,
Warwick-Tweedheads,Fitz Creek,volcaniclastic,conglomerate,,,,,
Dorrigo,Five Day Creek,phylite,schist,,,,,
Bowen,Flat Top,siltstone,sandstone,prograding shelf,deep shelf,Fielding1993,,
Baralaba,Flat Top,calcilutite,coquinite,prograding shelf,deep shelf,Fielding1993,,
Monto,Flat Top,siltstone,arenite,prograding shelf,deep shelf,Fielding1993,,
Mundubbera,Flat Top,mudstone,argilite,prograding shelf,deep shelf,Fielding1993,,
Mount Coolon,Fort Cooper,sandstone,conglomerate,,,,,
,Fossil Cliff,limestone,siltstone,,,AGGA,,
Sydney,Four Mile Creek,sandstone,siltstone,delta plain,marine shelf,map,,
Monto,Four Mile Creek,siltstone,mudstone,delta plain,marine shelf,map,,
Bowen,Freitag,sandstone,siltstone,coastal plain,offshore marine,"Fielding1993,Jones2006",,
Canberra,Fyshwick,gravel,sandstone,,,,,
Bowen,Gebbie,sandstone,siltstone,,,,,
Clermont,Gebbie,sandstone,siltstone,,,,,
Duaringa,Gebbie,sandstone,siltstone,,,,,
Mackay,Gebbie,sandstone,siltstone,,,,,
Mount Coolon,Gebbie,sandstone,siltstone,,,,,
Saint Lawrence,Gebbie,sandstone,siltstone,,,,,
Duaringa,German Creek,sandstone,siltstone,,,,,
Emerald,German Creek,sandstone,siltstone,,,,,
Saint Lawrence,German Creek,sandstone,siltstone,,,,,
,Gerringong,latite,tuff,,,AGGA,,
Maryborough,Gigoomgan,limestone,mudstone,,,,,
Moreton,Gilgurry,mudstone,sandstone,,,,,
Warwick-Tweedheads,Gilgurry,siltstone,,,,,,
Moreton,Gilla,volcanics,,,,,,
Tamworth-Hastings,Giro,diamictite,conglomerate,,,,,
Tamworth,Gladstone,shale,sandstone,,,,,
,Glencoe,limestone,,,,AGGA,,
,Glendoo,,,,,,,
Inverell,Glenmore,conglomerate,arenite,,,,,
Tamworth-Hastings,Gloucester,sandstone,conglomerate,,,,,
,Golden Valley,,,,,,,
Maryborough,Good Night,slate,limestone,,,,,
,Grange,marl,limestone,,,AGGA,,
,Gray,,,,,,obsolete,
Singleton,Greta,sandstone,conglomerate,,,,,
Sydney,Greta Coal,sandstone,conglomerate,delta plain,,map,,
Tamworth,Gunnible,shale,sandstone,,,,,
Maryborough,Gympie,mudstone,limestone,,,,,
Moreton,Gympie,shale,mudstone,,,,,
Bowen,Gyranda,siltstone,shale,,,,,
Baralaba,Gyranda,sandstone,siltstone,,,,,
Monto,Gyranda,siltstone,arenite,,,,,
Mundubbera,Gyranda,mudstone,sandstone,,,,,
Dorrigo,Halls Peak,rhyolite,diamictite,,,,,
Yarraman,Hampton,volcanics,chert,,,,,
,Hardman,sandstone,siltstone,shallow marine,,"Mii2013, AGGA",,
Mundubbera,Hawkwood,gabbro,diorite,,,,,
Grafton-Maclean,Hianana,breccia,porphyry,,,,,
,Hickman,,,,,,,
,High Cliff Sandstone,sandstone,siltstone,,,AGGA,,
,Holmwood,shale,siltstone,,,AGGA,,
Bathurst,Illawarra,sandstone,siltstone,,,,,
Dubbo,Illawarra,shale,sandstone,,,,,
Singleton,Illawarra,shale,sandstone,,,,,
