basin,formation,lithology1,lithology2,environment1,environment2,source,notes,name
Bathurst,Shoalhaven,claystone,sandstone,,,,,
Dubbo,Shoalhaven,conglomerate,sandstone,,,,,
Singleton,Shoalhaven,shale,conglomerate,,,,,
Sydney,Shoalhaven,shale,conglomerate,,,,,
Ulladulla,Shoalhaven,siltstone,sandstone,,,,,
Moreton,Silver Spur,conglomerate,sandstone,,,,,
Singleton,Singleton,sandstone,shale,,,,,
Tamworth,Singleton,sandstone,shale,,,,,
Emerald,Sirius,shale,siltstone,,,,,
Springsure,Sirius,siltstone,shale,,,,,
Bathurst,Snapper Point,sandstone,conglomerate,fluvial coastal,nearshore marine,Fielding2006,,
,South Curra,grainstone,calcilutite,,,AGGA,,
,Spreyton,siltstone,mudstone,,,AGGA,,
Emerald,Staircase,sandstone,siltstone,,,,,
Springsure,Staircase,sandstone,siltstone,,,,,
Emerald,Stanleigh,sandstone,shale,,,,,
Springsure,Stanleigh,sandstone,shale,,,,,
Monto,Station,siltstone,mudstone,,,,,
Tamworth-Hastings,Stroud,volcanics,,,,,,
Dorrigo,Styx River,siltstone,sandstone,,,,,
Grafton-Maclean,Sunnyside,rhyolite,quartz,,,,,
Warwick-Tweedheads,Sunnyside,dacite,porphyry,,,,,
,Swifts Jetty Sandstone,sandstone,,,,AGGA,,
,Tamby Creek,andesite,sandstone,,,AGGA,,
Manilla,Tarakan,sandstone,conglomerate,,,,,
Grafton-Maclean,Tarban,rhyolite,ignimbrite,,,,,
Warwick-Tweedheads,Tarban,dacite,ignimbrite,,,,,
Rockhampton,Targinie,adamellite,granite,,,,,
Moreton,Taromeo,tonalite,adamellite,,,,,
Maryborough,Teebar,sandstone,siltstone,,,,,
Maryborough,Tenningering,diorite,,,,,,
Grafton-Maclean,Tent Hill,ignimbrite,,,,,,
Grafton-Maclean,Tenterfield,rhyolite,quartz,,,,,
Warwick-Tweedheads,Tenterfield,dacite,porphyry,,,,,
Moreton,Terrica,conglomerate,sandstone,,,,,
Warwick-Tweedheads,Terrica,arenite,mudstone,,,,,
Tamworth-Hastings,Thrumster,slate,sandstone,,,,,
Bowen,Thunderbolt,adamellite,,,,,,
Grafton-Maclean,Timbarra,rhyolite,quartz,,,,,
Warwick-Tweedheads,Timbarra,dacite,porphyry,,,,,
Bowen,Tiverton,sandstone,limestone,,,,,
Bowen,Tiverton,sandstone,siltstone,,,,,
Mackay,Tiverton,sandstone,siltstone,,,,,
Mount Coolon,Tiverton,sandstone,siltstone,,,,,
Tamworth,Toll Bar,claystone,sandstone,,,,,
Singleton,Tomago,shale,mudstone,,,,,
,Tunnel Block Sediments,,,,,,,
,Ulladulla,siltstone,sandstone,shelf,,Gostin1973,,
Mackay,Upper Bowen,siltstone,sandstone,,,,,
Warwick-Tweedheads,Wallaby,siltstone,conglomerate,,,,,
Grafton-Maclean,Wallangarra,rhyolite,dacite,,,,,
Warwick-Tweedheads,Wallangarra,ignimbrite,,,,,,
Sydney,Wallis Creek,sandstone,claystone,delta plain,marine shelf,map,,
,Wandagee,siltstone,wackestone,,,AGGA,,
Wollongong,Wandrawandian,siltstone,sandstone,offshore marine,,Fielding2006,,
Grafton-Maclean,Wandsworth Volcanic,rhyolite,quartz,,,,,
Sydney,Waratah,sandstone,,barrier bar,shoal,map,,
Dorrigo,Warbro,siltstone,sandstone,,,,,
Tamworth-Hastings,Warbro,sandstone,mudstone,,,,,
Sydney,Warners Bay,tuff,,alluvial plain,delta plain,map,,
,Wasp Head,sandstone,breccia,alluvial valley fill,nearshore marine,"Fielding2006, AGGA",,
Maryborough,Wateranga Gabbro,gabbro,norite,,,,,
Manilla,Watermark,siltstone,claystone,delta,marine shelf,"McMinn1993,Tadros1995",,
Manilla,Werrie,basalt,,,,,,
Narrabri,Werrie,volcanics,clastics,,,,,
Tamworth-Hastings,Werrie,basalt,tuff,,,,,
Tamworth,Werrie,basalt,tuff,,,,,
Wollongong,Westley Park,tuff,,,,,,
Maryborough,Wigton,granite,,,,,,
Moreton,Wigton,granite,adamellite,,,,,
Mundubbera,Wigton,adamellite,gabbro,,,,,
Tamworth,Willow Tree,shale,sandstone,,,,,
Mundubbera,Wingfield,adamellite,,,,,,
Bowen,Wiseman,sandstone,mudstone,,,,,
Yarraman,Wollshed Mountain,diorite,,,,,,
,Woodbridge,siltstone,sandstone,lower shoreface-offshore transition,offshore marine,"Fielding2010, Reid2010, AGGA",superseded,Malbina
Bowen,Woolein,siltstone,mudstone,,,,,
Moreton,Woolshed Mountain,diorite,,,,,,
,Yadboro,conglomerate,shale,Basin-margin alluvial apron,nearshore and offshore marine and estuarine,"Fielding2006, AGGA",,
Monto,Yarrol,limestone,siltstone,,,,,
,Yarrunga,sandstone,shale,Basin-margin alluvial apron,nearshore and offshore marine and estuarine,"Fielding2006, AGGA",,
Dorrigo,Yessabah,limestone,mudstone,,,,,
Tamworth-Hastings,Yessabah,sandstone,mudstone,,,,,
Maryborough,Yorkeys,diorite,granite,,,,,
Duaringa,Youlambie,conglomerate,sandstone,nearshore marine,lacustrine,Jones2004,,
Monto,Youlambie,conglomerate,arenite,nearshore marine,lacustrine,Jones2004,,
Rockhampton,Youlambie,conglomerate,arenite,nearshore marine,lacustrine,Jones2004,,
