Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
14610|Oorabra Arkose|overlies|23345|Attutra Metagabbro|unconformity|
9394|Kelly Creek Formation|underlies|780|Austral Downs Limestone|unconformity|
14173|Ninmaroo Formation|underlies|780|Austral Downs Limestone|unconformity|
488|Antrim Plateau Volcanics|overlies|787|Auvergne Group|unconformity|
2914|Bullita Group|underlies|787|Auvergne Group|unconformity|
5760|Duerdin Group|overlies|787|Auvergne Group|unconformity|
35323|Tijunna Group|underlies|787|Auvergne Group|unconformity|
19609|Wattie Group|underlies|787|Auvergne Group|unconformity|
11401|Marura Siltstone|overlies|26360|Badalngarrmirri Formation|conformity|
11455|Mattamurta Sandstone|underlies|26360|Badalngarrmirri Formation|not specified|
1243|Bath Range Formation|overlies|26362|Baiguridji Formation|conformity|
27030|Yarrawirrie Formation|underlies|26362|Baiguridji Formation|conformity|
1735|Birrindudu Group|is equivalent to|75570|Baines beds||
10424|Limmen Sandstone|overlies|76089|Balbirini Dolostone||
76088|Reward Dolostone|underlies|76089|Balbirini Dolostone||
6743|Fleming Sandstone|underlies|21185|Balma Group|not specified|
26072|Nathan Group|overlies|21185|Balma Group|unknown|
27873|Parsons Range Group|underlies|21185|Balma Group|conformity|
26075|Nero Siltstone|underlies|25774|Banyan Formation|unconformity|
20428|Wondoan Hill Formation|overlies|25774|Banyan Formation|unconformity|
38413|Gleeson Formation|underlies|38410|Baralandji Formation|not specified|
38409|Powell Formation|overlies|38410|Baralandji Formation|not specified|
632|Arrinthrunga Formation|overlies|32954|Barkly Group|conformity|
2718|Brunette Limestone|overlies|32954|Barkly Group|unconformity|
8256|Helen Springs Volcanics|underlies|32954|Barkly Group|unconformity|
69563|Kiana Group|underlies|32954|Barkly Group|unconformity|
37962|Narpa Group|underlies|32954|Barkly Group|unconformity|
38406|Renner Group|underlies|32954|Barkly Group|unconformity|
18088|Thorntonia Limestone|underlies|32954|Barkly Group|unconformity|
76090|Coxco Dolostone Member|underlies|1130|Barney Creek Formation||
76088|Reward Dolostone|overlies|1130|Barney Creek Formation||
76084|Teena Dolostone|underlies|1130|Barney Creek Formation||
14550|Oliver Formation|underlies|1156|Barracouta Formation|unconformity|
29219|Bullion Schist|is intruded by|27283|Barrow Creek Granite Complex||
21123|Alyinga Sandstone|underlies|21201|Bartalumba Basalt|not specified|
21611|Dalumbu Sandstone|overlies|21201|Bartalumba Basalt|conformity|
34025|Milyema Formation|underlies|21201|Bartalumba Basalt|not specified|
1735|Birrindudu Group|is equivalent to|1242|Bastion Group||
3663|Carr Boyd Group|overlies|1242|Bastion Group|unconformity|
26362|Baiguridji Formation|underlies|1243|Bath Range Formation|conformity|
26072|Nathan Group|overlies|1243|Bath Range Formation|unknown|
6726|Flamingo Group|underlies|1249|Bathurst Island Group|unconformity|
7197|Gilbert River Formation|overlies|77211|Bathurst Range Coal Measures||
18813|Umbolooga Subgroup|underlies|1257|Batten Subgroup|not specified|
3225|Bynoe Formation|underlies|1264|Battle Creek Formation|not specified|
12764|Mount Gordon Sandstone|underlies|1264|Battle Creek Formation|not specified|
26206|Weaner Sandstone|underlies|1264|Battle Creek Formation|conformity|
20428|Wondoan Hill Formation|overlies|1264|Battle Creek Formation|unconformity|
29219|Bullion Schist|is intruded by|24175|Bean Tree Granite||
2782|Bucket Spring Member|underlies|1322|Beasley Knob Member|not specified|
27150|Ernie Lagoon Member|overlies|1322|Beasley Knob Member|not specified|
42259|Celia Dolostone|overlies|26378|Beestons Formation|not specified|
24261|El Sherana Group|overlies|26378|Beestons Formation|not specified|
8675|Inca Formation|overlies|1389|Beetle Creek Formation|not specified|
22033|Jigaimara Formation|is equivalent to|1389|Beetle Creek Formation||
68733|Connellys Volcanics|underlies|42492|Benmara Group|unconformity|
13528|Murphy Metamorphics|underlies|42492|Benmara Group|unconformity|
17123|South Nicholson Group|overlies|42492|Benmara Group|unknown|
3134|Burrell Creek Formation|is intruded by|75949|Benning Gabbro||
3990|Chilling Sandstone|is intruded by|75949|Benning Gabbro||
29906|Birksgate Complex|underlies|1491|Bentley Supergroup|unconformity|
18515|Townsend Quartzite|overlies|1491|Bentley Supergroup|not specified|
3134|Burrell Creek Formation|overlies|1503|Berinka Volcanics|conformity|
26025|Meeway Volcanics|is equivalent to|1503|Berinka Volcanics||
13399|Mulluk Mulluk Volcanics|is equivalent to|1503|Berinka Volcanics||
18111|Ti-Tree Granophyre|intrudes|1503|Berinka Volcanics||
24631|Warrs Volcanic Member|is equivalent to|1503|Berinka Volcanics||
21342|Brumbreu Formation|overlies|1514|Bernborough Formation|not specified|
26998|Whippet Sandstone Member|underlies|1514|Bernborough Formation|not specified|
27379|Corcoran Formation|underlies|24715|Bessie Creek Sandstone|conformity|
19074|Velkerri Formation|overlies|24715|Bessie Creek Sandstone|conformity|
21096|Abarungkwa Sandstone|underlies|30960|Bickerton Rhyolite|not specified|
22337|Milyakburra Formation|overlies|30960|Bickerton Rhyolite|not specified|
16839|Shoal Reach Formation|underlies|41376|Big Knob beds|unconformity|
17153|Spencer Sandstone|underlies|41376|Big Knob beds|unconformity|
9937|Kurrundie Sandstone|overlies|25685|Big Sunday Formation|unconformity|
15650|Pul Pul Rhyolite|underlies|25685|Big Sunday Formation|disconformity|
6639|Fiery Creek Volcanics|overlies|1621|Bigie Formation|conformity|
10558|Lochness Formation|underlies|1621|Bigie Formation|not specified|
11575|McNamara Group|overlies|1621|Bigie Formation|not specified|
