genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Filiconcha,hillae,290.100,259.000,32,14,0.0274
Fletcherithyris,antesulcata,272.500,268.000,2,2,0.2976
Fletcherithyris,biundata,272.500,265.000,10,0,NaN
Fletcherithyris,canni,272.500,268.000,1,0,NaN
Fletcherithyris,farleyensis,290.100,265.000,8,0,NaN
Fletcherithyris,galbina,272.500,259.000,2,1,0.5000
Fletcherithyris,hardmani,290.100,254.000,4,4,0.2321
Fletcherithyris,illawarrensis,279.500,265.000,2,0,NaN
Fletcherithyris,parkesi,295.000,265.000,18,0,NaN
Fletcherithyris,reidi,290.100,265.000,15,1,0.0076
Fletcherithyris,scotti,279.500,272.500,1,0,NaN
Fletcherithyris,sp.,290.100,265.000,4,3,0.0237
Fluctuaria,campbelli,360.700,326.400,21,0,NaN
Fluctuaria,sp.,360.700,326.400,2,0,NaN
Fredericksia,"n. sp. A",295.000,290.100,1,1,0.5000
Fredericksia,"n. sp. B",279.500,272.500,1,1,1.0000
Fusispirifer,avicula,279.500,265.000,9,0,NaN
Fusispirifer,byroensis,290.100,279.500,6,2,0.2357
Fusispirifer,carnarvonensis,295.000,290.100,9,5,0.6190
Fusispirifer,coolkilyaensis,272.500,268.000,1,1,0.8889
Fusispirifer,cundlegoensis,290.100,272.500,3,0,NaN
Fusispirifer,kennediensis,272.500,268.000,4,4,1.0000
Fusispirifer,laminatus,290.100,279.500,1,1,0.0092
Fusispirifer,pauciplicus,268.000,259.000,7,4,0.0395
Fusispirifer,quinnaniensis,290.100,279.500,5,4,1.0000
Fusispirifer,sp.,290.100,265.000,12,6,0.1178
Fusispirifer,"sp. B",272.500,268.000,4,4,0.0148
Fusispirifer,wandageensis,290.100,272.500,9,7,0.6895
Gatia,superba,290.100,279.500,1,1,0.1538
Geothomasia,branxtonensis,295.000,272.500,20,0,NaN
Geothomasia,profunda,290.100,279.500,16,2,0.0069
Geothomasia,symmetrica,290.100,279.500,2,0,NaN
Geothomasia,teicherti,290.100,272.500,6,6,0.8492
Geothomasia,valida,290.100,279.500,10,1,0.0062
Gigantoproductus,tenuirugosus,345.300,326.400,2,0,NaN
Gilledia,culburrensis,290.100,268.000,6,0,NaN
