"Stratigraphic.Name"|"Previous.Name"|"Replacement.Name"|"Rank"|"Status"|"Category"|"Parent.Name"|"Type.Section.State"|"Lithology.Description"|"Primary.Lithology.Group"|"Secondary.Lithology.Group"
"5110"|"Glenmore Creek Granite"|""|""|"Formation, beds"|"Reserved"|"Reserved"|""|""|"Pale pink to pinkish grey or pale greyish pink, fine to medium-grained, slightly porphyritic, leucocratic biotite monzogranite; with rare sphene and scattered mafic inclusions up to ~2 cm across"|"igneous felsic intrusive"|""
"5111"|"Glenmore Supersuite"|""|""|"Supergroup"|"Formal"|"Variation of published name"|""|""|""|"igneous felsic intrusive"|""
"5030"|"Freitag Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Back Creek Group"|""|"Sublabile sandstone, pebbly sandstone, siltstone, mudstone."|"sedimentary siliciclastic"|""
"15621"|"Snapper Point Formation, Wandrawandian Siltstone"|""|""|"Subgroup"|"Informal"|"Variation of published name"|"Shoalhaven Group"|""|"Fine- to medium-grained sandstone, siltstone, wave rippled conglomerate. Fine-grained quartz-lithic silty sandstone and siltstone"|"sedimentary siliciclastic"|""
"4031"|"Berserker Group"|"Berserker beds"|""|"Group, Suite"|"Formal"|"Variation of published name"|""|""|"Siltstone, lithofeldspathic sandstone, intermediate to felsic intrusive and extrusive domes, volcanic breccia, minor conglomerates; mainly marine deposits."|"argillaceous detrital sediment"|"igneous felsic-intermediate volcanic"
"5737"|"Maria Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Back Creek Group"|"QLD"|"Siltstone, mudstone, shale, feldspathic sublabile to labile sandstone, calcareous sandstone."|"sedimentary siliciclastic"|""
"7470"|"Maria Island Granite"|""|NA|"Formation, beds"|"Informal"|"Other new published name"|""|""|"S-type biotite granite ."|"igneous felsic intrusive"|""
"6564"|"Rammutt Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Gympie Group"|"QLD"|"Altered andesite to basaltic andesite, dacitic tuff, sandstone, shale, carbonaceous mudstone, conglomerate."|"igneous volcanic"|"sedimentary siliciclastic"
"6191"|"Narayen beds"|"Narayen Beds"|""|"Formation, beds"|"Informal"|"Variation of published name"|""|""|"Dominantly andesitic (and lesser rhyolitic) conglomerate or breccia, sandstone, and lava flows; siltstone, lithic sandstone, subordinate conglomerate, and rare coquinite, limestone, and chert."|"igneous intermediate volcanic"|"feldspar- or lithic-rich arenite to rudite"
"3808"|"Aldebaran Sandstone"|"Aldebaran sandstone"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Back Creek Group"|"QLD"|"Pebbly quartz sandstone, conglomerate, minor shale, siltstone and coal."|"sedimentary siliciclastic"|"organic-rich rock"
"6138"|"Muggleton Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Back Creek Group"|"QLD"|"Shale, siltstone, quartzose sandstone, tuff, coal"|"sedimentary siliciclastic"|"organic-rich rock"
"750"|"Mooraback beds"|"Mooraback Beds"|""|"Formation, beds"|"Informal"|"Variation of published name"|"Macleay Group"|""|"Black and grey fine sandstone and siltstone"|"sedimentary siliciclastic"|""
"1452"|"Rutherford Formation"|"Rutherford Stage"|""|"Formation, beds"|"Formal"|"Other new published name"|"Dalwood Group"|""|"Siltstone, marl and minor sandstone."|"argillaceous detrital sediment"|"sedimentary carbonate"
"2371"|"Yessabah Limestone"|""|""|"Formation, beds"|"Formal"|"Unknown or process pending"|"Macleay Group"|"NSW"|"Bioclastic crinoidal limestone and calcareous mudstone."|"sedimentary carbonate"|""
"560"|"Manning Group"|""|""|"Group, Suite"|"Formal"|"Other new published name"|""|""|"Diamictite, conglomerate, sandstone, mudstone, felsic and intermediate volcanics and limestone. Deposited in high energy, deep-marine sedimentary conditions (flysch sedimentation)."|"sedimentary siliciclastic"|"igneous felsic-intermediate volcanic"
"473"|"Lochinvar Formation"|"Lochinvar formation"|""|"Formation, beds"|"Formal"|"Other new published name"|"Dalwood Group"|""|"Basalt, siltstone, sandstone."|"igneous mafic volcanic"|"sedimentary siliciclastic"
"1377"|"Risdon Stud Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Silverwood Group"|""|"Silicified sequence of andesitic crystal-lithic tuff and thin to medium bedded, fine grained arenite and mudstone."|"igneous intermediate volcanic"|"feldspar- or lithic-rich arenite to rudite"
"6617"|"Risdon Stud Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Silverwood Group"|""|"Silicified sequence of andesitic crystal-lithic tuff and thin to medium bedded, fine grained arenite and mudstone."|"igneous intermediate volcanic"|"feldspar- or lithic-rich arenite to rudite"
"7204"|"Darlington Limestone"|""|NA|"Formation, beds"|"Formal"|"Other new published name"|"Golden Valley Group"|""|"Fossiliferous and dropstone-rich calcirudites, bryozoal siltstones and limestones."|"sedimentary carbonate"|""
"5093"|"Glencoe Gabbro"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|""|""|"Medium to coarse-grained, equigranular, melanocratic hornblende-clinopyroxene gabbro, commonly uralitised; coarse-grained mesocratic hornblende gabbro with some quartz-feldspar-hornblende pegmatoid veins"|"igneous mafic intrusive"|""
"8482"|"Glencoe Limestone Member"|""|NA|"Member, phase"|"Formal"|"Unknown or process pending"|"Gippsland Limestone"|""|"Limestone"|"sedimentary carbonate"|""
"8600"|"Ingliston Granite"|"Ingliston Granodiorite"|NA|"Formation, beds"|"Formal"|"Unknown or process pending"|""|""|"I-type granite with red-brown biotite with haloes."|"igneous felsic intrusive"|""
"8571"|"Hickman Creek Granite"|"Hickman Creek Adamellite"|NA|"Formation, beds"|"Formal"|"Variation of published name"|""|""|"Pink to pale grey, coarse and even grained, biotite monzogranite, with small pegmatitic patches"|"igneous felsic intrusive"|""
"1682"|"Tamby Creek Formation"|""|""|"Formation, beds"|"Formal"|"Unknown or process pending"|"Dalwood Group"|""|"Andesite and andesite breccia interbedded with lithic sandstone, conglomerate and tuff."|"igneous intermediate volcanic"|"sedimentary siliciclastic"
"5166"|"Gray Creek Complex"|"Gray Creek complex"|""|"Group, Suite"|"Formal"|"Other new published name"|""|"QLD"|"Metagabbro, amphibolite, clinopyroxenite, and serpentinite."|"meta-igneous mafic intrusive"|""
"2103"|"Werrie Basalt"|""|""|"Formation, beds"|"Formal"|"Other new published name"|""|""|"Basaltic lavas (some alkaline), tuffs, autochthonous and cataclastic sediments, and local thin coals."|"igneous mafic volcanic"|""
