**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
CH/f0095		Outcrop						Maxwell, P.A.; 	1991	Waipawan		Bortonian		56.0	39.1	ADOPTED AGE.	GNS GS 6213	REFER NZGS BULL. 105 (1991).	
CH/f0100		Outcrop						Squires, D.F.; 	1958	Landon Series	?			34.6	21.7		GNS GS 9446	DET. PUBLISHED PAL. BULL. 29: 37-38. NOTE: THIS LITHOLOGY EXACTLY MATCHES COLL. FROM ONE OF THE BEACHES SOUTH OF RADIO STATION, WAIKARIPI, WHERE PALE GREEN TUFF WITH PINK BLEBS CONTAINS SPARSE GASTROPODS AND QUITE COMMON Madrepora COLONIES (RECOLL. P.A. MAXWELL & A.G. BEU GS 25/5/1977) GS792 - FAUNA IS CERTAINLY WHENUATARU TUFF, N. PITT IS. (OPOITIAN) EXCEPT 1 POOR Cypraea sp. (MATCHES PRESERVATION RED BLUFF TUFF, N. PITT IS.) SEE PAL. BULL. 8: 97 (GS792) "FOSSILS OCCUR MAINLY AT RED BLUFF... AND ON THE WESTERN SIDE OF PITT IS. (THE ROCKS IN THE LATTER LOCALITY BEING, ACCORDING TO VON HAAST, A TUFFACEOUS WHITISH LIMESTONE").	
CH/f0100		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 9446	GRID REF. UNKNOWN - REFER NZGS BULL. 105 (1991).	
CH/f0101		Outcrop								Opoitian				5.3	3.7		GNS GS 9447	Cyathoceras cf. rubescens & Dendrophyllia boschmai - CANTERBURY MUSEUM.	
CH/f0101		Outcrop						Maxwell, P.A.; 	1991	Opoitian		Waipipian		5.3	3.0	LOWER Wo-Wp.	GNS GS 9447	REFER NZGS BULL. 105 (1991).	
CH/f0104A		Outcrop															GNS GS 12139	TO DR. E.P.F. ROSE, -/6/1977.	
CH/f0104A		Outcrop						Beu, A.G.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 12139	REFER NZGS BULL. 105 (1991).	
CH/f0105		Outcrop						Marwick, J.; 		Opoitian				5.3	3.7		GNS GS 10192	FOSSIL LIST FROM MARWICK 1928 TNZI 58: 437.	
CH/f0105		Outcrop						Maxwell, P.A.; 	1991	Opoitian		Waipipian		5.3	3.0	LOWER Wo-Wp. ADOPTED AGE.	GNS GS 10192	REFER NZGS BULL. 105 (1991).	
CH/f0106		Outcrop						Marwick, J.; 		Opoitian				5.3	3.7		GNS GS 10193	DET. PUBLISHED MARWICK, TNZI 58: 437; PAL. BULL. 44.	
