taxon_name	phylum	class	feeding
Pinegathyris	Brachiopoda	Rhynchonellata	1
Planalvus	Brachiopoda	Rhynchonellata	1
Plicathyris	Brachiopoda	Rhynchonellata	1
Posicomta	Brachiopoda	Rhynchonellata	1
Pradoia	Brachiopoda	Rhynchonellata	1
Protathyris	Brachiopoda	Rhynchonellata	1
Pseudohomeospira	Brachiopoda	Rhynchonellata	1
Pseudopentagonia	Brachiopoda	Rhynchonellata	1
Pseudoprotathyris	Brachiopoda	Rhynchonellata	1
Tetraloba	Brachiopoda	Rhynchonellata	1
Quadriloba	Brachiopoda	Rhynchonellata	1
Rawdonia	Brachiopoda	Rhynchonellata	1
Septospirigerella	Brachiopoda	Rhynchonellata	1
Sphaerathyris	Brachiopoda	Rhynchonellata	1
Spirigerella	Brachiopoda	Rhynchonellata	1
Squamathyris	Brachiopoda	Rhynchonellata	1
Sulcathyris	Brachiopoda	Rhynchonellata	1
Titanothyris	Brachiopoda	Rhynchonellata	1
Tongzithyris	Brachiopoda	Rhynchonellata	1
Tulathyris	Brachiopoda	Rhynchonellata	1
Uldziathyris	Brachiopoda	Rhynchonellata	1
Xenosaria	Brachiopoda	Rhynchonellata	1
Zonathyris	Brachiopoda	Rhynchonellata	1
Amphitomella	Brachiopoda	Rhynchonellata	1
Anisactinella	Brachiopoda	Rhynchonellata	1
Anomactinella	Brachiopoda	Rhynchonellata	1
Clavigera	Brachiopoda	Rhynchonellata	1
Dioristella	Brachiopoda	Rhynchonellata	1
Diplospirella	Brachiopoda	Rhynchonellata	1
Euractinella	Brachiopoda	Rhynchonellata	1
Majkopella	Brachiopoda	Rhynchonellata	1
Misolia	Brachiopoda	Rhynchonellata	1
Ochotathyris	Brachiopoda	Rhynchonellata	1
Oxycolpella	Brachiopoda	Rhynchonellata	1
Pentactinella	Brachiopoda	Rhynchonellata	1
Pexidella	Brachiopoda	Rhynchonellata	1
Qingthyris	Brachiopoda	Rhynchonellata	1
Spirigerellina	Brachiopoda	Rhynchonellata	1
Compositella	Brachiopoda	Rhynchonellata	1
Stolzenburgiella	Brachiopoda	Rhynchonellata	1
Tetractinella	Brachiopoda	Rhynchonellata	1
Uncinella	Brachiopoda	Rhynchonellata	1
Argella	Brachiopoda	Rhynchonellata	1
Hyattidina	Brachiopoda	Rhynchonellata	1
Arctomeristina	Brachiopoda	Rhynchonellata	1
Charionella	Brachiopoda	Rhynchonellata	1
Charionoides	Brachiopoda	Rhynchonellata	1
Hindella	Brachiopoda	Rhynchonellata	1
Imdentistella	Brachiopoda	Rhynchonellata	1
Koigia	Brachiopoda	Rhynchonellata	1
Kozlenia	Brachiopoda	Rhynchonellata	1
Meristella	Brachiopoda	Rhynchonellata	1
Meristelloides	Brachiopoda	Rhynchonellata	1
Meristina	Brachiopoda	Rhynchonellata	1
Nikolaispira	Brachiopoda	Rhynchonellata	1
Pentagonia	Brachiopoda	Rhynchonellata	1
Plancella	Brachiopoda	Rhynchonellata	1
Pseudomeristina	Brachiopoda	Rhynchonellata	1
Tschatkalia	Brachiopoda	Rhynchonellata	1
Whitfieldella	Brachiopoda	Rhynchonellata	1
Amerista	Brachiopoda	Rhynchonellata	1
Aulidospira	Brachiopoda	Rhynchonellata	1
Camarium	Brachiopoda	Rhynchonellata	1
Camarophorella	Brachiopoda	Rhynchonellata	1
Camarospira	Brachiopoda	Rhynchonellata	1
Dicamara	Brachiopoda	Rhynchonellata	1
Dicamaropsis	Brachiopoda	Rhynchonellata	1
Liocoelia	Brachiopoda	Rhynchonellata	1
Merista	Brachiopoda	Rhynchonellata	1
Rowleyella	Brachiopoda	Rhynchonellata	1
Tyrganiella	Brachiopoda	Rhynchonellata	1
Paramerista	Brachiopoda	Rhynchonellata	1
Septathyris	Brachiopoda	Rhynchonellata	1
Triathyris	Brachiopoda	Rhynchonellata	1
Kellerella	Brachiopoda	Rhynchonellata	1
Nucleospira	Brachiopoda	Rhynchonellata	1
Argorhynx	Brachiopoda	Rhynchonellata	1
Gissarina	Brachiopoda	Rhynchonellata	1
Molongia	Brachiopoda	Rhynchonellata	1
Qinlingia	Brachiopoda	Rhynchonellata	1
Retziella	Brachiopoda	Rhynchonellata	1
Ufonicoelia	Brachiopoda	Rhynchonellata	1
Xerxespirifer	Brachiopoda	Rhynchonellata	1
Apheathyris	Brachiopoda	Rhynchonellata	1
Amphiclina	Brachiopoda	Rhynchonellata	1
Amphiclinodonta	Brachiopoda	Rhynchonellata	1
Carinokoninckina	Brachiopoda	Rhynchonellata	1
Ctenokoninckina	Brachiopoda	Rhynchonellata	1
Koninckella	Brachiopoda	Rhynchonellata	1
Koninckina	Brachiopoda	Rhynchonellata	1
Koninckodonta	Brachiopoda	Rhynchonellata	1
Lamellokoninckina	Brachiopoda	Rhynchonellata	1
Septamphiclina	Brachiopoda	Rhynchonellata	1
Mongolospira	Brachiopoda	Rhynchonellata	1
Cassianospira	Brachiopoda	Rhynchonellata	1
Cooperispira	Brachiopoda	Rhynchonellata	1
Hungarispira	Brachiopoda	Rhynchonellata	1
Hustedia	Brachiopoda	Rhynchonellata	1
Hustedtiella	Brachiopoda	Rhynchonellata	1
Hustedtiella	Brachiopoda	Rhynchonellata	1
Neoretzia	Brachiopoda	Rhynchonellata	1
Plectospira	Brachiopoda	Rhynchonellata	1
Schwagerispira	Brachiopoda	Rhynchonellata	1
Thedusia	Brachiopoda	Rhynchonellata	1
Acambona	Brachiopoda	Rhynchonellata	1
Eumetria	Brachiopoda	Rhynchonellata	1
Retzia	Brachiopoda	Rhynchonellata	1
Parazyga	Brachiopoda	Rhynchonellata	1
Homoeospira	Brachiopoda	Rhynchonellata	1
Homoeospirella	Brachiopoda	Rhynchonellata	1
Leptospira	Brachiopoda	Rhynchonellata	1
Pseudoparazyga	Brachiopoda	Rhynchonellata	1
Rhynchospirina	Brachiopoda	Rhynchonellata	1
Trematospira	Brachiopoda	Rhynchonellata	1
Anoplotheca	Brachiopoda	Rhynchonellata	1
Bifida	Brachiopoda	Rhynchonellata	1
Butkovia	Brachiopoda	Rhynchonellata	1
Coelospira	Brachiopoda	Rhynchonellata	1
Coelospirella	Brachiopoda	Rhynchonellata	1
Coelospirina	Brachiopoda	Rhynchonellata	1
Dnestrina	Brachiopoda	Rhynchonellata	1
Navispira	Brachiopoda	Rhynchonellata	1
Kayseria	Brachiopoda	Rhynchonellata	1
Neocoelia	Brachiopoda	Rhynchonellata	1
Dayia	Brachiopoda	Rhynchonellata	1
Protozeuga	Brachiopoda	Rhynchonellata	1
Uncites (Uncites)	Brachiopoda	Rhynchonellata	1
Uncites (Winterfeldia)	Brachiopoda	Rhynchonellata	1
Uncites	Brachiopoda	Rhynchonellata	1
Anazyga	Brachiopoda	Rhynchonellata	1
Catazyga	Brachiopoda	Rhynchonellata	1
Pentlandella	Brachiopoda	Rhynchonellata	1
Tuvaella	Brachiopoda	Rhynchonellata	1
Zygatrypa	Brachiopoda	Rhynchonellata	1
Zygospira	Brachiopoda	Rhynchonellata	1
Anatrypa	Brachiopoda	Rhynchonellata	1
Atrypa (Atrypa)	Brachiopoda	Rhynchonellata	1
Atrypa (Planatrypa)	Brachiopoda	Rhynchonellata	1
Atrypa	Brachiopoda	Rhynchonellata	1
Atryparia (Atryparia)	Brachiopoda	Rhynchonellata	1
Atryparia (Costatrypa)	Brachiopoda	Rhynchonellata	1
Atryparia	Brachiopoda	Rhynchonellata	1
Catatrypa	Brachiopoda	Rhynchonellata	1
Desquamatia (Desquamatia)	Brachiopoda	Rhynchonellata	1
Desquamatia (Independatrypa)	Brachiopoda	Rhynchonellata	1
Desquamatia (Seratrypa)	Brachiopoda	Rhynchonellata	1
Desquamatia	Brachiopoda	Rhynchonellata	1
Devonatrypa	Brachiopoda	Rhynchonellata	1
Dihelictera	Brachiopoda	Rhynchonellata	1
Endrea	Brachiopoda	Rhynchonellata	1
Eospinatrypa	Brachiopoda	Rhynchonellata	1
Falsatrypa	Brachiopoda	Rhynchonellata	1
Gibberosatrypa	Brachiopoda	Rhynchonellata	1
Gotatrypa	Brachiopoda	Rhynchonellata	1
Invertina	Brachiopoda	Rhynchonellata	1
Invertrypa	Brachiopoda	Rhynchonellata	1
Iowatrypa	Brachiopoda	Rhynchonellata	1
Isospinatrypa	Brachiopoda	Rhynchonellata	1
Joviatrypa	Brachiopoda	Rhynchonellata	1
Kerpina	Brachiopoda	Rhynchonellata	1
Kyrtatrypa	Brachiopoda	Rhynchonellata	1
Oglu	Brachiopoda	Rhynchonellata	1
Oglupes	Brachiopoda	Rhynchonellata	1
Omnutakhella	Brachiopoda	Rhynchonellata	1
Procarinatina	Brachiopoda	Rhynchonellata	1
Protatrypa	Brachiopoda	Rhynchonellata	1
Pseudoatrypa	Brachiopoda	Rhynchonellata	1
Pseudogruenewaldtia	Brachiopoda	Rhynchonellata	1
Punctspinatrypa	Brachiopoda	Rhynchonellata	1
Radiatrypa	Brachiopoda	Rhynchonellata	1
Rugosatrypa	Brachiopoda	Rhynchonellata	1
Spinatrypa	Brachiopoda	Rhynchonellata	1
Spinatrypina (Exatrypa)	Brachiopoda	Rhynchonellata	1
Spinatrypina (Spinatrypina)	Brachiopoda	Rhynchonellata	1
Spinatrypina	Brachiopoda	Rhynchonellata	1
Togatrypa	Brachiopoda	Rhynchonellata	1
Uralospira	Brachiopoda	Rhynchonellata	1
Variatrypa	Brachiopoda	Rhynchonellata	1
Waiotrypa	Brachiopoda	Rhynchonellata	1
Zygospiraella	Brachiopoda	Rhynchonellata	1
Alispira	Brachiopoda	Rhynchonellata	1
Anabaria	Brachiopoda	Rhynchonellata	1
Atrypina (Atrypina)	Brachiopoda	Rhynchonellata	1
Atrypina (Atrypinopsis)	Brachiopoda	Rhynchonellata	1
Atrypina	Brachiopoda	Rhynchonellata	1
Australispira	Brachiopoda	Rhynchonellata	1
Beitaia	Brachiopoda	Rhynchonellata	1
Dabashanospira	Brachiopoda	Rhynchonellata	1
Clintonella	Brachiopoda	Rhynchonellata	1
Zanclorhyncha	Brachiopoda	Rhynchonellata	1
