taxon_name	int_midpoint	taxon	sub	size
Glans	0.01	Biv	Het	21.3
Glebula	0.01	Biv	nonHet	59.3375
Globivenus	0.01	Biv	nonHet	121.7
Gloripallium	0.01	Biv	nonHet	108.6
Glossus	0.01	Biv	Het	100
Glycilima	0.01	Biv	nonHet	15
Glycymeris	0.01	Biv	nonHet	115
Glycymerita	0.01	Biv	nonHet	57.02857143
Glycymerula	0.01	Biv	nonHet	28
Gobraeus	0.01	Biv	Het	148.6
Goethemia	0.01	Biv	nonHet	14
Gomphina	0.01	Biv	Het	91.5
Gomphinella	0.01	Biv	Het	41.5
Gonilia	0.01	Biv	Het	7
Gonimyrtea	0.01	Biv	nonHet	9.0525
Goniomactra	0.01	Biv	Het	94
Goodallia	0.01	Biv	Het	3.4
Gouldia	0.01	Biv	Het	180
Gouldiopa	0.01	Biv	nonHet	8
Grammatodonax	0.01	Biv	Het	30
Grammatomya	0.01	Biv	Het	26
Granicorium	0.01	Biv	Het	55.1
Gregariella	0.01	Biv	nonHet	33.4
Haasica	0.01	Biv	nonHet	33.73
Haasiella	0.01	Biv	nonHet	89.5
Haasodonta	0.01	Biv	nonHet	74.02857143
Halistrepta	0.01	Biv	nonHet	33.7875
Halonympha	0.01	Biv	nonHet	18.7
Hamacuna	0.01	Biv	nonHet	3.5
Hatasia	0.01	Biv	Het	56
Haumea	0.01	Biv	nonHet	40.3
Hawaiarca	0.01	Biv	nonHet	26.2
Hecuba	0.01	Biv	Het	79.4
Hedecardium	0.01	Biv	Het	51.6
Hemidonax	0.01	Biv	nonHet	47.8
Hemipecten	0.01	Biv	nonHet	39.5
Here	0.01	Biv	Het	14.63111111
Herella	0.01	Biv	Het	10.1
Hertellina	0.01	Biv	Het	24.94
Heteranomia	0.01	Biv	nonHet	22
Heteroclidus	0.01	Biv	nonHet	55
Heterodonax	0.01	Biv	nonHet	29.7
Heteromacoma	0.01	Biv	Het	57.48
Heterunio	0.01	Biv	nonHet	28.27142857
Heudeana	0.01	Biv	nonHet	91.9
Hexacorbula	0.01	Biv	Het	24
Hiatella	0.01	Biv	Het	59.7
Hilberia	0.01	Biv	nonHet	40
Hinnites	0.01	Biv	nonHet	180
Hippochaeta	0.01	Biv	nonHet	132.3
Hippopus	0.01	Biv	nonHet	475
Homalina	0.01	Biv	Het	35.52
Homoedesma	0.01	Biv	nonHet	111
Homoeodesma	0.01	Biv	nonHet	95
Humilaria	0.01	Biv	nonHet	95
Hunkydora	0.01	Biv	nonHet	42
Huxleyia	0.01	Biv	nonHet	4
Hyalopecten	0.01	Biv	nonHet	19.52666667
Hybolophus	0.01	Biv	Het	57.08571429
Hyotissa	0.01	Biv	nonHet	271
Hyphantosoma	0.01	Biv	nonHet	87.1
Hyridella	0.01	Biv	nonHet	85.12857143
Hysteroconcha	0.01	Biv	nonHet	100
I	0.01	Biv	nonHet	245
II	0.01	Biv	nonHet	143
Iacra	0.01	Biv	Het	24
Idas	0.01	Biv	nonHet	59
Idonearca	0.01	Biv	nonHet	71.87142857
Iheringella	0.01	Biv	nonHet	28.07
Illesca	0.01	Biv	Het	11.82916667
Incacardium	0.01	Biv	Het	33.41
Incanopsis	0.01	Biv	nonHet	19.225
Indopseudodon	0.01	Biv	nonHet	72.21333333
Inversidens	0.01	Biv	nonHet	47.56
Iphigenia	0.01	Biv	nonHet	87
Iridina	0.01	Biv	nonHet	159.9666667
Irus	0.01	Biv	Het	50.8
Irusella	0.01	Biv	nonHet	53.3
Ischadium	0.01	Biv	nonHet	68.9
Isocrassina	0.01	Biv	Het	24.04166667
Isognomon	0.01	Biv	nonHet	253.5
Isogonum	0.01	Biv	nonHet	181.1
Isolimea	0.01	Biv	nonHet	3.569
Isomonia	0.01	Biv	nonHet	44.5
Ixartia	0.01	Biv	nonHet	53.4
Jactellina	0.01	Biv	Het	18.16666667
Jagonoma	0.01	Biv	Het	21.29375
Janeia	0.01	Biv	nonHet	23.42
Janschinella	0.01	Biv	Het	15.815
Jolya	0.01	Biv	nonHet	120
Jouannetia	0.01	Biv	Het	50.9
Jugosus	0.01	Biv	nonHet	53.15555556
Jukesena	0.01	Biv	Het	5.4
Juliacorbula	0.01	Biv	nonHet	19
Jupiteria	0.01	Biv	nonHet	17.5
Juxtamusium	0.01	Biv	nonHet	35
Kalayoldia	0.01	Biv	nonHet	78.5
Kalliphenga	0.01	Biv	nonHet	40.14
Katadesmia	0.01	Biv	nonHet	24.5
Katelysia	0.01	Biv	Het	60
Keenaea	0.01	Biv	nonHet	30.5
Keenocardium	0.01	Biv	nonHet	76
Kellia	0.01	Biv	nonHet	9.5825
Kelliella	0.01	Biv	nonHet	15
Kereia	0.01	Biv	nonHet	52.5
Kermadysmea	0.01	Biv	Het	66.22857143
Kidderia	0.01	Biv	nonHet	8.4
Kistinaia	0.01	Biv	nonHet	27.2
Labis	0.01	Biv	nonHet	110.6
Laciolina	0.01	Biv	Het	58.34
Laevicardium	0.01	Biv	Het	190
Laevichlamys	0.01	Biv	nonHet	96.4
Laevicirce	0.01	Biv	Het	6.9
Laevifulvia	0.01	Biv	nonHet	23.3
Laevirostris	0.01	Biv	nonHet	44.37
Lajonkairia	0.01	Biv	Het	25
Lamelliconcha	0.01	Biv	nonHet	58.6
Lamellinucula	0.01	Biv	nonHet	35
Lampeia	0.01	Biv	nonHet	29.7
Lamproscapha	0.01	Biv	nonHet	121.95
Landinia	0.01	Biv	Het	33.95714286
Lasaea	0.01	Biv	nonHet	3.304
Lastena	0.01	Biv	nonHet	69.87142857
Latona	0.01	Biv	Het	54
Lazariella	0.01	Biv	Het	40
Legrandina	0.01	Biv	nonHet	2.8
