taxon_name	int_midpoint	taxon	sub	size
Crassatella	3.09	Biv	Het	102.36
Crassinella	3.09	Biv	nonHet	10
Crassostrea	3.09	Biv	nonHet	450
Crenella	3.09	Biv	nonHet	10
Cryptomya	3.09	Biv	Het	37
Cryptopecten	3.09	Biv	nonHet	43.52
Cucullaea	3.09	Biv	nonHet	136.5
Cucullaearca	3.09	Biv	nonHet	134
Cumingia	3.09	Biv	nonHet	52
Cunearca	3.09	Biv	nonHet	78
Cuspidaria	3.09	Biv	nonHet	62.5
Cyamium	3.09	Biv	Het	12.7
Cyathodonta	3.09	Biv	nonHet	73
Cycladicama	3.09	Biv	Het	18.205
Cyclinella	3.09	Biv	nonHet	81.3
Cyclocardia	3.09	Biv	Het	60
Cyclopecten	3.09	Biv	nonHet	25
Cymatoica	3.09	Biv	Het	17.345
Cyprimeria	3.09	Biv	nonHet	50.82
Cyrtodaria	3.09	Biv	Het	90
Cyrtopleura	3.09	Biv	Het	57.81
Dallocardia	3.09	Biv	nonHet	143.6
Decatopecten	3.09	Biv	nonHet	73.3
Dendostrea	3.09	Biv	nonHet	120
Diberus	3.09	Biv	nonHet	72.5
Digitaria	3.09	Biv	nonHet	10
Digitariopsis	3.09	Biv	Het	6.753571429
Dimya	3.09	Biv	nonHet	21.3
Diplodonta	3.09	Biv	Het	13.15333333
Divalinga	3.09	Biv	Het	17.89
Divaricella	3.09	Biv	Het	41.93
Donax	3.09	Biv	Het	85.8
Dosina	3.09	Biv	nonHet	66
Eastonia	3.09	Biv	nonHet	85.3
Elliptotellina	3.09	Biv	Het	10.805
Ennucula	3.09	Biv	nonHet	36.3
Ensis	3.09	Biv	nonHet	250
Ensisolen	3.09	Biv	nonHet	120
Ensitellops	3.09	Biv	nonHet	12.1
Eontia	3.09	Biv	nonHet	78.3
Epicodakia	3.09	Biv	nonHet	17.01304348
Equichlamys	3.09	Biv	nonHet	135
Ervilia	3.09	Biv	nonHet	15
Erycina	3.09	Biv	Het	8.525
Eucrassatella	3.09	Biv	Het	121
